Blocco		Media((r-0.5)^2)-1/12		Media cumulativa - 1/12		Barre di Errore
1		 0.000117929 		0.000117929 		0
2		 0.00323378 		0.00167585 		0.00155792
3		 -0.000719878 		0.000877276 		0.00120282
4		 0.00205195 		0.00117094 		0.000899791
5		 0.000372316 		0.00101122 		0.000715043
6		 0.00259388 		0.001275 		0.000640653
7		 0.00152833 		0.00131119 		0.000542659
8		 -0.00242863 		0.000843709 		0.000662868
9		 -0.00572173 		0.000114216 		0.000934832
10		 -0.00172334 		-6.95398e-05 		0.000856093
11		 0.00313658 		0.000221926 		0.000827402
12		 0.000766013 		0.000267266 		0.000756671
13		 0.002133 		0.000410785 		0.000710678
14		 -0.00077234 		0.000326276 		0.000663365
15		 0.00455483 		0.000608179 		0.000678858
16		 0.000154463 		0.000579822 		0.000635647
17		 -0.00107846 		0.000482276 		0.000605002
18		 0.000269369 		0.000470448 		0.000570524
19		 0.0030957 		0.000608619 		0.000557069
20		 -0.00219419 		0.000468479 		0.000546747
21		 -0.00377377 		0.000266467 		0.000557917
22		 -0.00599613 		-1.81966e-05 		0.00060333
23		 0.00181298 		6.14199e-05 		0.000581974
24		 0.000350877 		7.34806e-05 		0.000557328
25		 0.00175157 		0.000140604 		0.000538768
26		 0.00139357 		0.000188795 		0.00051987
27		 0.000439802 		0.000198091 		0.000500331
28		 0.00227978 		0.000272437 		0.00048783
29		 -0.000257682 		0.000254157 		0.000471062
30		 -0.00242187 		0.000164957 		0.000463749
31		 -0.000160018 		0.000154474 		0.000448663
32		 0.00281827 		0.000237717 		0.000442319
33		 -0.00291775 		0.000142097 		0.000439241
34		 0.00109405 		0.000170095 		0.000427045
35		 0.003649 		0.000269493 		0.000426411
36		 -0.00247853 		0.000193159 		0.000421369
37		 -0.000974041 		0.000161613 		0.000411034
38		 -0.00107524 		0.000129064 		0.000401393
39		 -0.00103294 		9.92689e-05 		0.0003921
40		 0.00166016 		0.000138291 		0.000384158
41		 -0.00234968 		7.76089e-05 		0.000379554
42		 -0.000513422 		6.35368e-05 		0.000370674
43		 0.000787024 		8.03621e-05 		0.000362342
44		 0.00258321 		0.000137245 		0.000358552
45		 0.000856821 		0.000153236 		0.000350858
46		 -0.00399253 		6.31103e-05 		0.000354784
47		 -0.00198522 		1.95288e-05 		0.000349878
48		 0.00368679 		9.593e-05 		0.000350929
49		 0.00139906 		0.000122525 		0.00034472
50		 0.00127718 		0.000145618 		0.000338544
51		 -0.000718909 		0.000128666 		0.000332272
52		 0.00347103 		0.000192942 		0.000332099
53		 0.00100206 		0.000208209 		0.00032613
54		 0.00134992 		0.000229351 		0.000320732
55		 0.001439 		0.000251345 		0.000315613
56		 0.00171962 		0.000277564 		0.000311033
57		 0.0047943 		0.000356805 		0.000315636
58		 0.00182685 		0.000382151 		0.000311181
59		 0.00358445 		0.000436427 		0.000310639
60		 -0.000690606 		0.000417643 		0.000305995
61		 -0.00209431 		0.000376464 		0.000303741
62		 0.0024041 		0.000409167 		0.000300587
63		 0.000336496 		0.000408014 		0.000295779
64		 0.00236475 		0.000438588 		0.000292722
65		 -0.00327057 		0.000381524 		0.000293779
66		 -0.0015994 		0.00035151 		0.000290846
67		 0.00144779 		0.000367872 		0.000286939
68		 0.00040405 		0.000368404 		0.000282689
69		 0.00358795 		0.000415064 		0.000282442
70		 0.0013646 		0.000428629 		0.000278708
71		 0.00158399 		0.000444902 		0.000275236
72		 -0.000241106 		0.000435374 		0.000271554
73		 -0.00174908 		0.00040545 		0.000269475
74		 0.00193827 		0.000426164 		0.000266614
75		 -0.000565301 		0.000412944 		0.000263367
76		 -0.000673251 		0.000398652 		0.000260272
77		 -0.000413694 		0.000388102 		0.000257086
78		 0.000526643 		0.000389878 		0.000253775
79		 -0.00156303 		0.000365158 		0.000251758
80		 -5.50189e-05 		0.000359906 		0.000248647
81		 -0.000816675 		0.00034538 		0.000245987
82		 -0.00494215 		0.000280898 		0.00025138
83		 2.31936e-06 		0.000277542 		0.000248355
84		 0.000511111 		0.000280322 		0.000245397
85		 -0.000895293 		0.000266492 		0.000242887
86		 0.00320495 		0.00030066 		0.000242465
87		 -0.00150447 		0.000279911 		0.000240559
88		 0.00262575 		0.000306568 		0.000239299
89		 -0.00076113 		0.000294572 		0.000236899
90		 -0.000231073 		0.000288731 		0.000234324
91		 0.00314284 		0.000320095 		0.000233848
92		 -0.00440669 		0.000268717 		0.00023693
93		 -0.000114626 		0.000264595 		0.000234405
94		 -0.000405742 		0.000257464 		0.000232007
95		 -0.00250491 		0.000228386 		0.000231386
96		 0.000204349 		0.000228136 		0.000228963
97		 0.0017759 		0.000244092 		0.000227152
98		 -0.00297263 		0.000211268 		0.000227205
99		 -0.000710947 		0.000201953 		0.000225092
100		 0.000731893 		0.000207252 		0.000222892
