#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       1       0       0.133333              0              0              0
       1       1            0.4      0.0347222      0.0347222              0
       1       2       0.666667       0.104167       0.104167              0
       1       3       0.933333         0.3125         0.3125              0
       1       4            1.2       0.381944       0.381944              0
       1       5        1.46667          0.625          0.625              0
       1       6        1.73333       0.555556       0.555556              0
       1       7              2       0.381944       0.381944              0
       1       8        2.26667       0.416667       0.416667              0
       1       9        2.53333       0.277778       0.277778              0
       1      10            2.8       0.347222       0.347222              0
       1      11        3.06667      0.0347222      0.0347222              0
       1      12        3.33333       0.138889       0.138889              0
       1      13            3.6      0.0347222      0.0347222              0
       1      14        3.86667      0.0694444      0.0694444              0
       1      15        4.13333      0.0347222      0.0347222              0
       1      16            4.4              0              0              0
       1      17        4.66667              0              0              0
       1      18        4.93333              0              0              0
       1      19            5.2              0              0              0
       1      20        5.46667              0              0              0
       1      21        5.73333              0              0              0
       1      22              6              0              0              0
       1      23        6.26667              0              0              0
       1      24        6.53333              0              0              0
       1      25            6.8              0              0              0
       1      26        7.06667              0              0              0
       1      27        7.33333              0              0              0
       1      28            7.6              0              0              0
       1      29        7.86667              0              0              0
       2       0       0.133333              0              0              0
       2       1            0.4      0.0347222      0.0347222              0
       2       2       0.666667       0.104167       0.104167              0
       2       3       0.933333         0.3125         0.3125              0
       2       4            1.2       0.381944       0.381944              0
       2       5        1.46667          0.625          0.625              0
       2       6        1.73333       0.555556       0.555556              0
       2       7              2       0.381944       0.381944              0
       2       8        2.26667       0.416667       0.416667              0
       2       9        2.53333       0.277778       0.277778              0
       2      10            2.8         0.3125       0.329861      0.0122762
       2      11        3.06667      0.0694444      0.0520833      0.0122762
       2      12        3.33333       0.138889       0.138889              0
       2      13            3.6      0.0347222      0.0347222              0
       2      14        3.86667      0.0694444      0.0694444              0
       2      15        4.13333      0.0347222      0.0347222              0
       2      16            4.4              0              0              0
       2      17        4.66667              0              0              0
       2      18        4.93333              0              0              0
       2      19            5.2              0              0              0
       2      20        5.46667              0              0              0
       2      21        5.73333              0              0              0
       2      22              6              0              0              0
       2      23        6.26667              0              0              0
       2      24        6.53333              0              0              0
       2      25            6.8              0              0              0
       2      26        7.06667              0              0              0
       2      27        7.33333              0              0              0
       2      28            7.6              0              0              0
       2      29        7.86667              0              0              0
       3       0       0.133333              0              0              0
       3       1            0.4      0.0347222      0.0347222              0
       3       2       0.666667       0.104167       0.104167              0
       3       3       0.933333         0.3125         0.3125              0
       3       4            1.2       0.381944       0.381944              0
       3       5        1.46667          0.625          0.625              0
       3       6        1.73333       0.555556       0.555556              0
       3       7              2       0.381944       0.381944              0
       3       8        2.26667       0.451389       0.428241     0.00945019
       3       9        2.53333       0.243056       0.266204     0.00945019
       3      10            2.8         0.3125       0.324074     0.00945019
       3      11        3.06667      0.0694444      0.0578704     0.00945019
       3      12        3.33333       0.138889       0.138889              0
       3      13            3.6      0.0347222      0.0347222              0
       3      14        3.86667      0.0694444      0.0694444              0
       3      15        4.13333      0.0347222      0.0347222              0
       3      16            4.4              0              0              0
       3      17        4.66667              0              0              0
       3      18        4.93333              0              0              0
       3      19            5.2              0              0              0
       3      20        5.46667              0              0              0
       3      21        5.73333              0              0              0
       3      22              6              0              0              0
       3      23        6.26667              0              0              0
       3      24        6.53333              0              0              0
       3      25            6.8              0              0              0
       3      26        7.06667              0              0              0
       3      27        7.33333              0              0              0
       3      28            7.6              0              0              0
       3      29        7.86667              0              0              0
       4       0       0.133333              0              0              0
       4       1            0.4      0.0347222      0.0347222              0
       4       2       0.666667       0.104167       0.104167              0
       4       3       0.933333         0.3125         0.3125              0
       4       4            1.2       0.381944       0.381944              0
       4       5        1.46667          0.625          0.625              0
       4       6        1.73333       0.555556       0.555556              0
       4       7              2       0.381944       0.381944              0
       4       8        2.26667       0.451389       0.434028     0.00868056
       4       9        2.53333       0.243056       0.260417     0.00868056
