#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.52891    -0.52891           0
           2   -0.528464   -0.528687 0.000157384
           3   -0.528033   -0.528469 0.000206703
           4   -0.527617   -0.528256 0.000240867
           5   -0.527219   -0.528049  0.00026745
           6   -0.526833   -0.527846 0.000289595
           7   -0.526474    -0.52765 0.000307524
           8   -0.526123   -0.527459 0.000322961
           9   -0.525789   -0.527273 0.000336197
          10   -0.525464   -0.527093 0.000347897
          11   -0.525155   -0.526916 0.000358096
          12   -0.524856   -0.526745 0.000367121
          13   -0.524567   -0.526577 0.000375167
          14    -0.52428   -0.526413 0.000382566
          15   -0.523996   -0.526252 0.000389513
          16    -0.52371   -0.526093 0.000396239
          17   -0.523424   -0.525936 0.000402835
          18   -0.523133    -0.52578 0.000409451
          19   -0.522837   -0.525625 0.000416179
          20   -0.522529   -0.525471 0.000423197
          21   -0.522208   -0.525315 0.000430612
          22   -0.521872   -0.525159 0.000438561
          23   -0.521518      -0.525 0.000447155
          24   -0.521153    -0.52484 0.000456355
          25   -0.520765   -0.524677 0.000466299
          26   -0.520363   -0.524511 0.000476972
          27   -0.519938   -0.524342 0.000488451
          28   -0.519493   -0.524169 0.000500764
          29   -0.519032   -0.523992 0.000513872
          30   -0.518547    -0.52381 0.000527815
          31    -0.51804   -0.523624 0.000542611
          32   -0.517514   -0.523433 0.000558239
          33   -0.516969   -0.523237 0.000574667
          34    -0.51641   -0.523036 0.000591806
          35   -0.515833    -0.52283 0.000609638
          36   -0.515237    -0.52262 0.000628131
          37   -0.514631   -0.522404 0.000647199
          38   -0.514012   -0.522183 0.000666779
          39   -0.513376   -0.521957 0.000686861
          40   -0.512735   -0.521726 0.000707326
          41   -0.512087   -0.521491 0.000728101
          42   -0.511433   -0.521252 0.000749112
          43   -0.510776   -0.521008 0.000770287
          44   -0.510117   -0.520761 0.000791553
          45   -0.509457    -0.52051 0.000812843
          46   -0.508798   -0.520255 0.000834091
          47   -0.508142   -0.519997 0.000855235
          48   -0.507494   -0.519737 0.000876187
          49   -0.506847   -0.519474 0.000896927
          50   -0.506206   -0.519208 0.000917403
          51   -0.505572   -0.518941 0.000937569
          52   -0.504949   -0.518672 0.000957372
          53   -0.504326   -0.518401 0.000976824
          54   -0.503717   -0.518129 0.000995865
          55   -0.503124   -0.517856  0.00101444
          56    -0.50254   -0.517583  0.00103254
          57   -0.501968   -0.517309  0.00105014
          58   -0.501407   -0.517035  0.00106722
          59   -0.500853   -0.516761   0.0010838
          60   -0.500318   -0.516486  0.00109984
          61   -0.499792   -0.516213  0.00111534
          62   -0.499284    -0.51594  0.00113028
          63   -0.498793   -0.515668  0.00114464
          64   -0.498312   -0.515396  0.00115843
          65   -0.497844   -0.515126  0.00117166
          66   -0.497387   -0.514858  0.00118434
          67   -0.496952    -0.51459  0.00119643
          68   -0.496528   -0.514325  0.00120796
          69   -0.496126   -0.514061  0.00121891
          70   -0.495729   -0.513799  0.00122931
          71   -0.495354   -0.513539  0.00123914
          72   -0.494988   -0.513282  0.00124843
          73   -0.494638   -0.513026  0.00125718
          74   -0.494303   -0.512773   0.0012654
          75   -0.493977   -0.512523   0.0012731
          76   -0.493668   -0.512275  0.00128029
          77    -0.49337   -0.512029  0.00128699
          78   -0.493085   -0.511786   0.0012932
          79   -0.492821   -0.511546  0.00129893
          80   -0.492565   -0.511309  0.00130418
          81   -0.492325   -0.511074  0.00130897
          82   -0.492096   -0.510843  0.00131331
          83   -0.491881   -0.510615   0.0013172
          84   -0.491679   -0.510389  0.00132067
          85   -0.491493   -0.510167  0.00132371
          86   -0.491321   -0.509948  0.00132634
          87   -0.491161   -0.509732  0.00132855
          88   -0.491013   -0.509519  0.00133037
          89   -0.490891    -0.50931  0.00133179
          90   -0.490796   -0.509104  0.00133278
          91   -0.490711   -0.508902  0.00133337
          92   -0.490656   -0.508704  0.00133355
          93   -0.490631   -0.508509  0.00133329
          94   -0.490631   -0.508319  0.00133261
          95   -0.490668   -0.508133  0.00133147
          96   -0.490745   -0.507952  0.00132986
          97   -0.490864   -0.507776  0.00132777
          98   -0.491027   -0.507605  0.00132518
          99    -0.49124    -0.50744  0.00132206
         100   -0.491511    -0.50728   0.0013184
         101   -0.491838   -0.507128  0.00131418
         102   -0.492226   -0.506981  0.00130939
         103   -0.492684   -0.506843  0.00130402
         104   -0.493212   -0.506712  0.00129805
         105   -0.493812   -0.506589  0.00129149
         106   -0.494495   -0.506475  0.00128433
         107   -0.495253    -0.50637  0.00127661
         108   -0.496093   -0.506275  0.00126833
         109   -0.497013    -0.50619  0.00125953
         110   -0.498012   -0.506115  0.00125027
         111   -0.499083   -0.506052  0.00124062
         112    -0.50023      -0.506  0.00123063
         113   -0.501449    -0.50596  0.00122039
         114   -0.502737   -0.505931  0.00121002
         115    -0.50409   -0.505915   0.0011996
         116   -0.505499   -0.505912  0.00118927
         117   -0.506962   -0.505921  0.00117913
         118   -0.508469   -0.505942  0.00116934
         119   -0.510017   -0.505977  0.00116001
         120   -0.511598   -0.506023  0.00115129
         121   -0.513199   -0.506083   0.0011433
         122   -0.514815   -0.506154  0.00113617
         123   -0.516443   -0.506238  0.00113001
         124   -0.518075   -0.506333  0.00112492
         125   -0.519698    -0.50644  0.00112099
         126   -0.521309   -0.506558  0.00111829
         127   -0.522898   -0.506687  0.00111686
         128   -0.524461   -0.506826  0.00111673
         129   -0.525996   -0.506975  0.00111792
         130    -0.52749   -0.507132   0.0011204
         131   -0.528941   -0.507299  0.00112415
