#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       1       0            0.2              0              0              0
       1       1            0.6      0.0472222      0.0472222              0
       1       2              1       0.193519       0.193519              0
       1       3            1.4       0.211111       0.211111              0
       1       4            1.8        0.42037        0.42037              0
       1       5            2.2       0.513657       0.513657              0
       1       6            2.6       0.448611       0.448611              0
       1       7              3       0.350463       0.350463              0
       1       8            3.4       0.211574       0.211574              0
       1       9            3.8      0.0483796      0.0483796              0
       1      10            4.2      0.0087963      0.0087963              0
       1      11            4.6              0              0              0
       1      12              5     0.00138889     0.00138889              0
       1      13            5.4      0.0217593      0.0217593              0
       1      14            5.8              0              0              0
       1      15            6.2     0.00115741     0.00115741              0
       1      16            6.6      0.0219907      0.0219907              0
       1      17              7              0              0              0
       1      18            7.4              0              0              0
       1      19            7.8              0              0              0
       2       0            0.2              0              0              0
       2       1            0.6      0.0444444      0.0458333    0.000982093
       2       2              1       0.177315       0.185417     0.00572887
       2       3            1.4       0.206944       0.209028     0.00147314
       2       4            1.8        0.40162       0.410995     0.00662913
       2       5            2.2       0.482407       0.498032      0.0110485
       2       6            2.6       0.430787       0.439699     0.00630176
       2       7              3       0.372454       0.361458      0.0077749
       2       8            3.4       0.241667        0.22662      0.0106393
       2       9            3.8      0.0814815      0.0649306      0.0117033
       2      10            4.2      0.0210648      0.0149306     0.00433758
       2      11            4.6     0.00717593     0.00358796     0.00253707
       2      12              5      0.0037037      0.0025463    0.000818411
       2      13            5.4      0.0087963      0.0152778      0.0045831
       2      14            5.8      0.0185185     0.00925926     0.00654729
       2      15            6.2     0.00162037     0.00138889    0.000163682
       2      16            6.6              0      0.0109954      0.0077749
       2      17              7              0              0              0
       2      18            7.4              0              0              0
       2      19            7.8              0              0              0
       3       0            0.2     0.00277778    0.000925926    0.000756015
       3       1            0.6      0.0740741      0.0552469     0.00771399
       3       2              1       0.144907       0.171914       0.011668
       3       3            1.4       0.275231       0.231096      0.0180451
       3       4            1.8        0.34213        0.38804      0.0192569
       3       5            2.2       0.434259       0.476775      0.0188551
       3       6            2.6       0.436343        0.43858     0.00429935
       3       7              3       0.280324       0.334414      0.0226821
       3       8            3.4       0.310185       0.254475      0.0238238
       3       9            3.8       0.141204      0.0903549      0.0221767
       3      10            4.2      0.0331019      0.0209877     0.00572896
       3      11            4.6      0.0189815     0.00871914     0.00451812
       3      12              5     0.00231481     0.00246914    0.000549232
       3      13            5.4     0.00277778      0.0111111      0.0045727
       3      14            5.8     0.00138889      0.0066358     0.00486213
       3      15            6.2              0    0.000925926    0.000393443
       3      16            6.6              0     0.00733025     0.00598512
       3      17              7              0              0              0
       3      18            7.4              0              0              0
       3      19            7.8              0              0              0
       4       0            0.2      0.0111111     0.00347222     0.00227689
       4       1            0.6      0.0773148      0.0607639     0.00750331
       4       2              1       0.152546       0.167072     0.00970373
       4       3            1.4       0.219444       0.228183      0.0137669
       4       4            1.8       0.283333       0.361863      0.0268794
       4       5            2.2       0.517824       0.487037      0.0167022
       4       6            2.6       0.430787       0.436632     0.00363928
       4       7              3       0.378472       0.345428      0.0195035
       4       8            3.4       0.213194       0.244155      0.0199785
