#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
       1       0            0.2              0              0              0
       1       1            0.6              0              0              0
       1       2              1              0              0              0
       1       3            1.4              0              0              0
       1       4            1.8              0              0              0
       1       5            2.2       0.842824       0.842824              0
       1       6            2.6        1.60926        1.60926              0
       1       7              3      0.0479167      0.0479167              0
       1       8            3.4              0              0              0
       1       9            3.8              0              0              0
       1      10            4.2              0              0              0
       1      11            4.6              0              0              0
       1      12              5              0              0              0
       1      13            5.4              0              0              0
       1      14            5.8              0              0              0
       1      15            6.2              0              0              0
       1      16            6.6              0              0              0
       1      17              7              0              0              0
       1      18            7.4              0              0              0
       1      19            7.8              0              0              0
       2       0            0.2     0.00138889    0.000694444    0.000491046
       2       1            0.6     0.00185185    0.000925926    0.000654729
       2       2              1      0.0159722     0.00798611     0.00564703
       2       3            1.4       0.081713      0.0408565      0.0288899
       2       4            1.8       0.268519       0.134259      0.0949356
       2       5            2.2        0.65162       0.747222      0.0676007
       2       6            2.6        1.16806        1.38866       0.155989
       2       7              3        0.29838       0.173148       0.088552
       2       8            3.4         0.0125        0.00625     0.00441942
       2       9            3.8              0              0              0
       2      10            4.2              0              0              0
       2      11            4.6              0              0              0
       2      12              5              0              0              0
       2      13            5.4              0              0              0
       2      14            5.8              0              0              0
       2      15            6.2              0              0              0
       2      16            6.6              0              0              0
       2      17              7              0              0              0
       2      18            7.4              0              0              0
       2      19            7.8              0              0              0
       3       0            0.2      0.0101852     0.00385802     0.00260371
       3       1            0.6      0.0601852       0.020679      0.0161342
       3       2              1      0.0435185      0.0198302      0.0103776
       3       3            1.4      0.0453704      0.0423611      0.0192991
       3       4            1.8       0.330093       0.199537      0.0827434
       3       5            2.2       0.484491       0.659645      0.0845235
       3       6            2.6       0.766435        1.18125       0.198729
       3       7              3       0.607176       0.317824       0.132057
       3       8            3.4       0.136806      0.0497685      0.0356547
       3       9            3.8      0.0157407     0.00524691     0.00428409
       3      10            4.2              0              0              0
       3      11            4.6              0              0              0
       3      12              5              0              0              0
       3      13            5.4              0              0              0
       3      14            5.8              0              0              0
       3      15            6.2              0              0              0
       3      16            6.6              0              0              0
       3      17              7              0              0              0
       3      18            7.4              0              0              0
       3      19            7.8              0              0              0
       4       0            0.2      0.0118056     0.00584491     0.00260272
       4       1            0.6      0.0659722      0.0320023      0.0155753
       4       2              1      0.0412037      0.0251736     0.00905496
       4       3            1.4       0.139815      0.0667245      0.0255869
       4       4            1.8       0.415509        0.25353      0.0777018
       4       5            2.2       0.551157       0.632523      0.0676042
       4       6            2.6        0.45625              1       0.216457
       4       7              3       0.446296       0.349942       0.102875
       4       8            3.4       0.278935        0.10706      0.0563634
       4       9            3.8      0.0847222      0.0251157      0.0175043
       4      10            4.2     0.00462963     0.00115741     0.00100234
       4      11            4.6      0.0037037    0.000925926    0.000801875
       4      12              5              0              0              0
       4      13            5.4              0              0              0
       4      14            5.8              0              0              0
       4      15            6.2              0              0              0
       4      16            6.6              0              0              0
       4      17              7              0              0              0
       4      18            7.4              0              0              0
       4      19            7.8              0              0              0
       5       0            0.2    0.000231481     0.00472222     0.00231166
       5       1            0.6      0.0203704      0.0296759      0.0126328
       5       2              1      0.0972222      0.0395833      0.0147847
       5       3            1.4       0.230093      0.0993981      0.0356799
       5       4            1.8       0.519213       0.306667      0.0782486
       5       5            2.2       0.442593       0.594537      0.0638699
       5       6            2.6       0.378704       0.875741       0.205763
       5       7              3       0.415741       0.363102      0.0831372
       5       8            3.4       0.262963       0.138241      0.0530184
       5       9            3.8      0.0960648      0.0393056      0.0188991
       5      10            4.2      0.0222222     0.00537037     0.00385256
       5      11            4.6      0.0101852     0.00277778     0.00177623
       5      12              5     0.00439815     0.00087963    0.000786765
       5      13            5.4              0              0              0
       5      14            5.8              0              0              0
       5      15            6.2              0              0              0
       5      16            6.6              0              0              0
       5      17              7              0              0              0
       5      18            7.4              0              0              0
       5      19            7.8              0              0              0
       6       0            0.2              0     0.00393519     0.00205601
       6       1            0.6      0.0430556      0.0319059      0.0107223
       6       2              1       0.100463      0.0497299       0.015414
       6       3            1.4       0.333333       0.138387      0.0463774
       6       4            1.8       0.394676       0.321335      0.0665678
       6       5            2.2        0.51088       0.580594      0.0547256
       6       6            2.6       0.333102       0.785301        0.19031
       6       7              3       0.380787       0.366049      0.0693333
       6       8            3.4       0.271991       0.160532      0.0486431
       6       9            3.8      0.0791667      0.0459491      0.0168766
       6      10            4.2      0.0525463       0.013233     0.00786288
       6      11            4.6              0     0.00231481     0.00153935
       6      12              5              0    0.000733025    0.000669157
       6      13            5.4              0              0              0
       6      14            5.8              0              0              0
       6      15            6.2              0              0              0
       6      16            6.6              0              0              0
       6      17              7              0              0              0
       6      18            7.4              0              0              0
       6      19            7.8              0              0              0
       7       0            0.2     0.00231481      0.0037037     0.00177527
       7       1            0.6      0.0810185       0.038922      0.0112543
       7       2              1       0.123843      0.0603175      0.0164511
       7       3            1.4       0.378472       0.172685      0.0508775
       7       4            1.8       0.418056       0.335152      0.0584745
       7       5            2.2       0.459259       0.563261      0.0495768
       7       6            2.6       0.348148       0.722851       0.173066
       7       7              3       0.261111       0.351058      0.0610277
       7       8            3.4       0.240278       0.171925      0.0430074
       7       9            3.8       0.131713      0.0582011      0.0183827
       7      10            4.2       0.050463      0.0185516     0.00834676
       7      11            4.6     0.00532407     0.00274471     0.00137816
       7      12              5              0    0.000628307    0.000581699
       7      13            5.4              0              0              0
       7      14            5.8              0              0              0
