#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1                0.56                0.56                   0
         2                0.28                0.42           0.0989949
         3                0.48                0.44           0.0679869
         4                0.32                0.41           0.0572276
         5                0.32               0.392           0.0485304
         6                 0.4            0.393333           0.0404603
         7                0.32            0.382857            0.036011
         8                 0.2                0.36           0.0380789
         9                0.28            0.351111           0.0348699
        10                 0.2               0.336           0.0345022
        11                0.24            0.327273           0.0324506
        12                0.24                0.32           0.0305505
        13                0.32                0.32           0.0282005
        14                0.52            0.334286           0.0295841
        15                0.56            0.349333           0.0312049
        16                0.56              0.3625           0.0319117
        17                 0.6            0.376471           0.0329511
        18                0.48            0.382222           0.0316184
        19                0.48            0.387368           0.0303702
        20                0.56               0.396           0.0300533
        21                0.68            0.409524           0.0315185
        22                0.76            0.425455           0.0338734
        23                0.56            0.431304           0.0329019
        24                0.52               0.435           0.0317379
        25                0.52              0.4384           0.0306499
        26                0.48                0.44           0.0295128
        27                0.56            0.444444           0.0287524
        28                0.52            0.447143           0.0278519
        29                0.44            0.446897           0.0268926
        30                0.48               0.448           0.0260188
        31                0.48            0.449032           0.0251999
        32                0.44             0.44875            0.024414
        33                0.44            0.448485           0.0236757
        34                0.68            0.455294           0.0239385
        35                0.72            0.462857             0.02442
        36                0.72                0.47           0.0247643
        37                 0.8            0.478919           0.0256509
        38                 0.8            0.487368           0.0263307
        39                0.64            0.491282           0.0259448
        40                 0.6               0.494           0.0254382
        41                0.68            0.498537            0.025219
        42                0.64            0.501905           0.0248424
        43                0.72            0.506977           0.0247771
        44                0.72            0.511818           0.0246824
        45                0.68            0.515556           0.0244152
        46                0.56            0.516522           0.0239036
        47                0.84            0.523404           0.0243657
        48                0.96              0.5325           0.0254994
        49                   1            0.542041           0.0267043
        50                   1              0.5512           0.0276964
        51                0.88            0.557647           0.0278936
        52                0.88            0.563846           0.0280376
        53                0.88            0.569811            0.028136
        54                0.88            0.575556           0.0281952
        55                0.88            0.581091           0.0282207
        56                0.88            0.586429            0.028217
        57                 0.8            0.590175           0.0279697
        58                0.84            0.594483           0.0278171
        59                0.84            0.598644           0.0276551
        60                0.88            0.603333           0.0275889
        61                0.92            0.608525           0.0276207
        62                0.96            0.614194           0.0277509
        63                0.92            0.619048           0.0277317
        64                   1               0.625           0.0279299
        65                   1            0.630769           0.0280897
        66                   1            0.636364           0.0282157
        67                0.88                0.64           0.0280279
        68                0.84            0.642941           0.0277696
        69                0.72            0.644058           0.0273896
        70                 0.8            0.646286           0.0270888
        71                0.72            0.647324           0.0267272
