#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1               15.68               15.68                   0
         2                3.92                 9.8             4.15779
         3               11.52             10.3733             2.81111
         4                5.12                9.06             2.39556
         5                5.12               8.272             2.04194
         6                   8             8.22667             1.70212
         7                5.12             7.78286             1.51572
         8                   2                7.06             1.48867
         9                3.92             6.71111             1.36354
        10                   2                6.24             1.30604
        11                2.88             5.93455              1.2225
        12                2.88                5.68             1.14682
        13                5.12             5.63692             1.05941
        14               13.52                 6.2             1.12346
        15               15.68               6.832             1.21337
        16               15.68               7.385             1.25725
        17                  18             8.00941             1.32934
        18               11.52             8.20444             1.26972
        19               11.52             8.37895             1.21482
        20               15.68               8.744             1.20768
        21               23.12             9.42857             1.33012
        22               28.88             10.3127             1.53566
        23               15.68             10.5461             1.48651
        24               13.52               10.67             1.42973
        25               13.52              10.784             1.37708
        26               11.52             10.8123             1.32441
        27               15.68             10.9926             1.28757
        28               13.52             11.0829             1.24474
        29                9.68             11.0345             1.20276
        30               11.52             11.0507             1.16278
        31               11.52             11.0658             1.12536
        32                9.68             11.0225             1.09103
        33                9.68             10.9818             1.05873
        34               23.12             11.3388             1.08611
        35               25.92             11.7554             1.13216
        36               25.92             12.1489             1.16708
        37                  32             12.6854             1.25281
        38                  32             13.1937             1.31892
        39               20.48             13.3805             1.29827
        40                  18              13.496             1.27094
        41               23.12             13.7307             1.26143
        42               20.48             13.8914             1.24159
        43               25.92             14.1712             1.24383
        44               25.92             14.4382             1.24389
        45               23.12             14.6311             1.23112
        46               15.68             14.6539             1.20457
        47               35.28             15.0928             1.25634
        48               46.08             15.7383             1.38614
        49                  50             16.4376             1.52404
        50                  50             17.1088             1.63471
        51               38.72             17.5325             1.65667
        52               38.72               17.94             1.67416
        53               38.72             18.3321             1.68786
        54               38.72             18.7096             1.69831
        55               38.72             19.0735             1.70596
        56               38.72             19.4243             1.71119
        57                  32             19.6449             1.69533
        58               35.28             19.9145             1.68739
        59               35.28             20.1749             1.67877
        60               38.72              20.484               1.679
        61               42.32              20.842             1.68921
        62               46.08              21.249             1.71031
        63               42.32             21.5835             1.71555
        64                  50             22.0275             1.74526
        65                  50             22.4578             1.77067
        66                  50             22.8752             1.79234
        67               38.72             23.1116             1.78112
        68               35.28             23.2906              1.7639
        69               25.92             23.3287             1.73874
        70                  32             23.4526             1.71831
        71               25.92             23.4873             1.69446
        72               20.48             23.4456             1.67144
        73               13.52             23.3096             1.65407
        74                  18             23.2378             1.63327
