#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5312     -0.5312           0
           2     -0.5256     -0.5284   0.0019799
           3     -0.6896   -0.582133   0.0438929
           4     -0.6864     -0.6082   0.0399163
           5     -0.6864    -0.62384   0.0348627
           6      -0.608     -0.6212    0.029152
           7     -0.7664   -0.641943   0.0315146
           8      -0.764     -0.6572   0.0310496
           9     -0.8456   -0.678133   0.0339302
          10      -0.764    -0.68672    0.031605
          11     -0.8448   -0.701091   0.0318318
          12     -0.7648     -0.7064   0.0296186
          13     -0.8464   -0.717169   0.0292326
          14     -0.8504   -0.726686   0.0286517
          15     -0.8512   -0.734987   0.0279182
          16     -0.8512    -0.74225   0.0271017
          17      -0.852   -0.748706   0.0262651
          18     -0.8496   -0.754311    0.025397
          19     -0.8496   -0.759326   0.0245505
          20     -0.8512    -0.76392   0.0237489
          21     -0.8536    -0.76819   0.0229987
          22     -0.7752   -0.768509   0.0219555
          23     -0.8512   -0.772104   0.0212933
          24     -0.7704   -0.772033   0.0204062
          25     -0.8504   -0.775168   0.0198292
          26     -0.8496   -0.778031   0.0192721
          27     -0.8512   -0.780741   0.0187479
          28     -0.7704   -0.780371    0.018082
          29     -0.7688   -0.779972   0.0174629
          30     -0.6896    -0.77696   0.0171386
          31     -0.6896   -0.774142   0.0168158
          32     -0.6088   -0.768975   0.0170657
          33     -0.6888   -0.766545   0.0167206
          34     -0.6936     -0.7644   0.0163659
          35     -0.7744   -0.764686   0.0159008
          36     -0.7744   -0.764956   0.0154614
          37      -0.856   -0.767416   0.0152381
          38      -0.856   -0.769747   0.0150143
          39     -0.8528   -0.771877   0.0147796
          40      -0.852    -0.77388   0.0145452
          41     -0.8536   -0.775824   0.0143198
          42     -0.8528   -0.777657   0.0140957
          43     -0.8544   -0.779442   0.0138804
          44     -0.7744   -0.779327   0.0135654
          45     -0.7736     -0.7792   0.0132645
          46     -0.7712   -0.779026   0.0129773
          47     -0.8568   -0.780681   0.0128063
          48     -0.9392   -0.783983   0.0129583
          49       -1.02     -0.7888   0.0135595
          50       -1.02   -0.793424   0.0140547
          51     -0.9376   -0.796251   0.0140605
          52     -0.9376   -0.798969   0.0140504
          53     -0.9376   -0.801585   0.0140267
          54     -0.9376   -0.804104   0.0139912
          55     -0.9376   -0.806531   0.0139458
          56     -0.9376   -0.808871   0.0138918
