#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1                0.48                0.48                   0
         2                0.72                 0.6           0.0848528
         3                0.68            0.626667           0.0606141
         4                0.56                0.61            0.047697
         5                 0.6               0.608           0.0381995
         6                0.48            0.586667           0.0373175
         7                0.68                 0.6           0.0342857
         8                0.72               0.615           0.0331191
         9                0.88            0.644444           0.0404637
        10                0.92               0.672           0.0448286
        11                0.68            0.672727           0.0407591
        12                0.68            0.673333            0.037367
        13                0.64            0.670769           0.0345805
        14                0.56            0.662857           0.0330032
        15                0.64            0.661333           0.0308382
        16                0.52              0.6525           0.0301494
        17                0.32            0.632941           0.0341355
        18                0.32            0.615556           0.0363982
        19                0.28            0.597895           0.0385296
        20                0.28               0.582           0.0397467
        21                -0.2            0.544762           0.0524745
        22               -0.36            0.503636           0.0642134
        23               -0.28            0.469565           0.0698783
        24               -0.36               0.435           0.0750301
        25               -0.36              0.4032            0.078479
        26               -0.12            0.383077           0.0779978
        27                0.16            0.374815           0.0755453
        28                0.04            0.362857           0.0737876
        29               -0.16            0.344828           0.0734128
        30                -0.2            0.326667           0.0731776
        31               -0.24            0.308387           0.0730645
        32                -0.4             0.28625           0.0740589
        33                -0.6            0.259394           0.0765293
        34               -0.48            0.237647           0.0773066
        35               -0.56            0.214857           0.0783851
        36               -0.56            0.193333           0.0791077
        37               -0.76            0.167568           0.0810571
        38                -0.6            0.147368           0.0814019
        39               -0.52            0.130256           0.0810934
        40               -0.52               0.114            0.080679
        41                -0.4            0.101463           0.0796793
        42               -0.44           0.0885714           0.0788182
        43                -0.4           0.0772093           0.0777999
        44               -0.48           0.0645455           0.0770555
        45                -0.8           0.0453333           0.0777013
        46               -0.84            0.026087           0.0783595
        47               -0.92          0.00595745           0.0792356
        48               -0.56         -0.00583333           0.0784573
        49               -0.76          -0.0212245           0.0783512
        50               -0.68             -0.0344           0.0778841
        51               -0.52          -0.0439216           0.0769368
        52               -0.32          -0.0492308           0.0756402
        53                -0.2          -0.0520755           0.0742665
        54               -0.32           -0.057037           0.0730567
        55               -0.24          -0.0603636           0.0718041
        56               -0.08          -0.0607143           0.0705228
        57               -0.32          -0.0652632           0.0694321
        58                -0.2          -0.0675862           0.0682738
        59               -0.12          -0.0684746           0.0671224
        60               -0.08          -0.0686667            0.066004
        61                0.08          -0.0662295           0.0649669
        62                 0.2          -0.0619355           0.0640608
        63                 0.4          -0.0546032           0.0634622
        64                0.36           -0.048125           0.0628004
        65                0.36          -0.0418462           0.0621473
        66                0.36          -0.0357576           0.0615032
        67                 0.2          -0.0322388           0.0606858
        68                 0.4          -0.0258824           0.0601254
        69                0.52           -0.017971           0.0597722
        70                0.64         -0.00857143           0.0596528
        71                0.72          0.00169014           0.0596887
        72                0.52          0.00888889           0.0592922
        73                0.52           0.0158904            0.058892
        74                0.28           0.0194595           0.0582042
        75                0.32           0.0234667           0.0575659
        76                 0.4           0.0284211           0.0570212
        77                0.64           0.0363636           0.0568312
        78                0.64           0.0441026            0.056627
        79                0.52           0.0501266           0.0562297
        80                0.64              0.0575           0.0560082
        81                0.72            0.065679           0.0559108
        82                 0.8           0.0746341           0.0559415
        83                0.88           0.0843373           0.0561027
        84                 0.8           0.0928571            0.056078
        85                0.72            0.100235           0.0559015
        86                0.56            0.105581           0.0555066
        87                0.72            0.112644            0.055316
        88                0.72            0.119545           0.0551163
        89                0.52            0.124045           0.0546804
        90                0.64            0.129778           0.0543725
        91                 0.8            0.137143           0.0542715
        92                0.64            0.142609           0.0539562
        93                0.72            0.148817            0.053732
        94                0.76            0.155319           0.0535523
        95                0.44            0.158316           0.0530724
        96                0.48            0.161667           0.0526252
        97                0.44            0.164536           0.0521609
        98                0.28            0.165714           0.0516419
        99                0.32            0.167273           0.0511438
       100                 0.6              0.1716           0.0508151
       101                 0.6            0.175842           0.0504887
       102                 0.8            0.181961           0.0503632
       103                0.72            0.187184           0.0501444
       104                 0.6            0.191154           0.0498191
       105                0.76            0.196571           0.0496383
       106                0.84            0.202642           0.0495398
       107                0.84            0.208598           0.0494336
       108                0.92            0.215185           0.0494128
       109                0.92            0.221651           0.0493807
       110                0.96            0.228364           0.0493859
       111                0.92            0.234595           0.0493325
       112                0.84                0.24           0.0491873
       113                0.96            0.246372           0.0491629
       114                0.88             0.25193           0.0490449
       115                0.96            0.258087           0.0490034
       116                0.88            0.263448           0.0488733
       117                0.88            0.268718           0.0487389
       118                0.68            0.272203           0.0484503
       119                0.64            0.275294           0.0481416
       120                0.64            0.278333           0.0478363
       121                0.56            0.280661           0.0474975
       122                0.52            0.282623           0.0471487
       123                0.56            0.284878           0.0468193
       124                0.32            0.285161           0.0464426
       125                 0.4             0.28608           0.0460801
       126                 0.2            0.285397           0.0457195
       127                0.32            0.285669           0.0453603
       128                0.44            0.286875           0.0450219
       129                 0.6            0.289302           0.0447383
       130                0.64               0.292           0.0444754
       131                0.84            0.296183           0.0443322
       132                0.72            0.299394           0.0441125
       133                0.76            0.302857           0.0439165
       134                0.48            0.304179           0.0436087
       135                0.44            0.305185           0.0432973
       136                0.28               0.305           0.0429793
       137                0.12             0.30365           0.0426868
       138                   0            0.301449           0.0424341
       139               -0.08            0.298705           0.0422175
       140                   0            0.296571           0.0419698
       141                0.08            0.295035           0.0417003
       142                0.64            0.297465           0.0414773
       143                0.52            0.299021           0.0412164
       144                0.44                 0.3           0.0409418
