#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.6096     -0.6096           0
           2     -0.6144      -0.612  0.00169706
           3     -0.6936     -0.6392   0.0222375
           4     -0.8512     -0.6922   0.0488355
           5      -0.852    -0.72416   0.0484097
           6     -0.6896     -0.7184   0.0406826
           7     -0.7736   -0.726286   0.0356269
           8     -0.9344     -0.7523   0.0395467
           9     -0.9376   -0.772889    0.040156
          10     -0.9384    -0.78944    0.039404
          11     -0.8536   -0.795273   0.0362509
          12     -0.7736   -0.793467    0.033275
          13     -0.6928   -0.785723   0.0316036
          14     -0.7712   -0.784686   0.0293632
          15     -0.7728   -0.783893   0.0274163
          16     -0.7704    -0.78305   0.0257158
          17     -0.7664   -0.782071   0.0242217
          18     -0.7664     -0.7812   0.0228917
          19     -0.7656   -0.780379   0.0217016
          20     -0.7656    -0.77964   0.0206291
          21      -0.676   -0.774705   0.0202285
          22     -0.5928   -0.766436   0.0209308
          23     -0.5944   -0.758957   0.0213154
          24     -0.5928   -0.752033   0.0215222
          25     -0.5928   -0.745664   0.0215832
          26     -0.5976   -0.739969   0.0214913
          27     -0.6832   -0.737867   0.0207979
          28     -0.7608   -0.738686   0.0200712
          29     -0.7568    -0.73931   0.0193888
          30      -0.756   -0.739867   0.0187505
          31     -0.6752   -0.737781   0.0182613
          32      -0.672   -0.735725    0.017806
          33      -0.748   -0.736097   0.0172703
          34     -0.8304   -0.738871   0.0169836
          35     -0.7488   -0.739154   0.0165007
          36     -0.7488   -0.739422   0.0160446
          37     -0.7448   -0.739568   0.0156116
          38      -0.748   -0.739789   0.0152023
          39     -0.7496   -0.740041   0.0148146
          40     -0.8296    -0.74228   0.0146124
          41      -0.752   -0.742517    0.014258
          42     -0.7512   -0.742724     0.01392
          43      -0.752    -0.74294   0.0135979
          44     -0.7504   -0.743109     0.01329
          45      -0.824   -0.744907   0.0131156
          46     -0.7432    -0.74487   0.0128306
          47     -0.8216   -0.746502    0.012661
          48     -0.7488    -0.74655   0.0123973
          49     -0.7448   -0.746514   0.0121444
          50     -0.6664   -0.744912   0.0120067
          51     -0.6696   -0.743435   0.0118618
          52     -0.6736   -0.742092   0.0117094
          53      -0.676   -0.740845   0.0115547
          54     -0.6736     -0.7396   0.0114076
          55     -0.6752   -0.738429   0.0112602
          56     -0.7584   -0.738786   0.0110647
          57     -0.8336   -0.740449   0.0109949
          58      -0.836   -0.742097   0.0109281
          59     -0.7576   -0.742359    0.010746
          60     -0.8384    -0.74396   0.0106855
          61     -0.8416   -0.745561   0.0106295
          62      -0.844   -0.747148    0.010576
          63      -0.768   -0.747479   0.0104133
          64     -0.7672   -0.747788   0.0102551
          65     -0.8472   -0.749317   0.0102108
          66     -0.8472     -0.7508   0.0101632
          67      -0.924   -0.753385   0.0103351
          68      -0.928   -0.755953   0.0104972
          69     -0.9304   -0.758481   0.0106452
          70     -0.9328   -0.760971   0.0107805
          71     -0.7744   -0.761161   0.0106303
          72     -0.8504     -0.7624   0.0105547
          73     -0.8504   -0.763605   0.0104787
          74     -0.7656   -0.763632   0.0103371
          75     -0.7664   -0.763669   0.0101994
          76      -0.768   -0.763726   0.0100653
          77     -0.7728   -0.763844  0.00993528
          78     -0.7728   -0.763959  0.00980857
          79     -0.6904   -0.763028  0.00972851
          80     -0.6928    -0.76215  0.00964643
          81     -0.7744   -0.762301  0.00952852
          82      -0.856   -0.763444  0.00948058
          83     -0.8576   -0.764578  0.00943399
          84      -0.856   -0.765667  0.00938425
          85     -0.6944   -0.764828  0.00931122
          86     -0.6112   -0.763042  0.00937275
          87     -0.7744   -0.763172  0.00926592
          88     -0.7744     -0.7633  0.00916151
          89     -0.8504   -0.764279  0.00911069
          90     -0.8528   -0.765262   0.0090624
          91      -0.936   -0.767138  0.00915497
          92     -0.7728     -0.7672  0.00905567
          93     -0.7744   -0.767277  0.00895863
          94     -0.8552   -0.768213  0.00891202
          95     -0.7688   -0.768219  0.00881821
          96     -0.8496   -0.769067    0.008767
          97     -0.8488   -0.769889  0.00871507
          98     -0.8456   -0.770661  0.00866032
          99     -0.8464   -0.771426  0.00860657
         100      -0.932   -0.773032    0.008669
         101      -0.932   -0.774606  0.00872488
         102      -0.856   -0.775404  0.00867576
         103     -0.7744   -0.775394  0.00859153
         104      -0.852   -0.776131  0.00854044
         105     -0.8552   -0.776884  0.00849223
         106     -0.9368   -0.778392  0.00854507
         107     -0.9368   -0.779873   0.0085925
         108     -0.9384   -0.781341   0.0086374
         109     -0.9384   -0.782782  0.00867752
         110     -0.9392   -0.784204  0.00871436
         111     -0.9384   -0.785593  0.00874588
         112     -0.9368   -0.786943  0.00877137
         113     -0.9392    -0.78829  0.00879663
         114     -0.9376     -0.7896  0.00881643
         115     -0.9392   -0.790901  0.00883522
         116     -0.9376   -0.792166   0.0088491
         117     -0.8576   -0.792725  0.00879112
         118     -0.8536   -0.793241  0.00873174
         119     -0.7728   -0.793069  0.00866006
         120     -0.7728     -0.7929  0.00858954
         121     -0.8512   -0.793382  0.00853205
         122     -0.8504   -0.793849  0.00847491
         123     -0.7712   -0.793665  0.00840801
         124     -0.7664   -0.793445  0.00834307
         125      -0.768   -0.793242  0.00827881
         126      -0.764    -0.79301  0.00821636
         127     -0.6864    -0.79217  0.00819443
         128     -0.6888   -0.791363  0.00817011
         129      -0.772   -0.791212  0.00810816
         130     -0.7728   -0.791071  0.00804702
         131     -0.8568   -0.791573  0.00800122
         132     -0.6944   -0.790836   0.0079744
         133     -0.7752   -0.790719  0.00791531
         134     -0.6096   -0.789367  0.00797081
         135     -0.6888   -0.788622   0.0079465
         136     -0.6856   -0.787865  0.00792409
         137     -0.6824   -0.787095  0.00790356
         138       -0.68   -0.786319  0.00788429
         139     -0.5184   -0.784391  0.00805973
         140       -0.52   -0.782503  0.00822044
         141     -0.5216   -0.780652   0.0083678
         142     -0.6128    -0.77947  0.00839195
         143     -0.6104   -0.778288  0.00841614
         144     -0.6088   -0.777111  0.00843959
         145     -0.6112   -0.775967   0.0084586
         146     -0.7688   -0.775918  0.00840081
         147     -0.8488   -0.776414  0.00835827
         148     -0.7712   -0.776378  0.00830187
         149     -0.7712   -0.776344  0.00824623
         150     -0.7696   -0.776299  0.00819138
         151     -0.7688   -0.776249  0.00813728
         152     -0.7712   -0.776216  0.00808381
         153     -0.7704   -0.776178  0.00803107
         154     -0.7696   -0.776135  0.00797903
         155     -0.7752   -0.776129  0.00792756
         156     -0.8568   -0.776646  0.00789359
         157     -0.6904   -0.776097   0.0078624
         158      -0.692   -0.775565  0.00783063
         159      -0.688   -0.775014  0.00780073
         160     -0.6056   -0.773955   0.0078235
         161     -0.6072   -0.772919  0.00784317
         162     -0.4456   -0.770899   0.0080508
         163     -0.6088   -0.769904   0.0080626
         164     -0.6896   -0.769415  0.00802829
         165     -0.7712   -0.769425  0.00797964
         166     -0.8544   -0.769937  0.00794797
         167     -0.8544   -0.770443  0.00791646
         168     -0.8544   -0.770943  0.00788509
         169     -0.6936   -0.770485   0.0078517
