#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           0.0592178           0.0592178                   0
         2            0.061564           0.0603909         0.000829507
         3           0.0543146           0.0583655          0.00174377
         4           0.0596658           0.0586905          0.00133779
         5           0.0629224           0.0595369           0.0013109
         6           0.0546712            0.058726          0.00131963
         7           0.0553496           0.0582436          0.00121607
         8           0.0583438           0.0582561          0.00106412
         9           0.0563778           0.0580474         0.000966138
        10           0.0580832            0.058051         0.000869531
        11           0.0568292           0.0579399         0.000797545
        12           0.0604116           0.0581459         0.000757213
        13           0.0591826           0.0582257         0.000703152
        14           0.0637166           0.0586179         0.000754423
        15            0.058539           0.0586126         0.000704147
        16           0.0558396           0.0584393         0.000681133
        17           0.0566014           0.0583312         0.000649589
        18            0.054107           0.0580965         0.000654521
        19            0.060658           0.0582313         0.000633805
        20           0.0615078           0.0583951         0.000622927
