#   N_BLOCK:  ACCEPTANCE:
           1    0.490706
           2    0.490694
           3    0.490679
           4     0.49059
           5    0.490679
           6    0.490723
           7     0.49069
           8    0.490724
           9    0.490669
          10    0.490704
          11    0.490789
          12    0.490789
          13     0.49077
          14    0.490796
          15     0.49078
          16    0.490777
          17    0.490808
          18    0.490826
          19     0.49082
          20    0.490814
