#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1          -0.0267246          -0.0267246                   0
         2            0.017194          -0.0047653           0.0155276
         3           0.0277954          0.00608827           0.0136269
         4          -0.0995738          -0.0203272           0.0250557
         5            0.209549            0.025648           0.0457467
         6          -0.0745824          0.00894297           0.0410592
         7           0.0776732           0.0187616           0.0363486
         8           -0.007096           0.0155294           0.0319484
         9           0.0841948           0.0231589           0.0292954
        10           0.0861706             0.02946           0.0270351
        11           -0.199445          0.00865049           0.0315866
        12           0.0288236           0.0103316           0.0289991
        13           0.0686602           0.0148184           0.0271133
        14           0.0911602           0.0202714           0.0257191
        15           -0.127106           0.0104462           0.0258131
        16            0.104466           0.0163225           0.0248596
        17          -0.0480046           0.0125385           0.0236835
        18          -0.0427544          0.00946669           0.0225661
        19           -0.112182          0.00306412           0.0222682
        20            0.025546          0.00418821           0.0211831
