#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         1            0.372713            0.372713                   0
         2            0.370784            0.371748         0.000682095
         3            0.370052            0.371183         0.000647912
         4            0.370078            0.370907         0.000541593
         5            0.370138            0.370753         0.000454593
         6            0.372845            0.371102         0.000494791
         7            0.370157            0.370967         0.000442145
         8            0.371259            0.371003         0.000388379
         9            0.370572            0.370955         0.000348164
        10            0.373237            0.371183         0.000380834
        11            0.372958            0.371345         0.000378847
        12            0.372551            0.371445         0.000360357
        13            0.371794            0.371472         0.000333635
        14            0.370621            0.371411         0.000315298
        15            0.371416            0.371412         0.000294278
        16            0.372213            0.371462         0.000280116
        17            0.370438            0.371401         0.000270038
        18            0.368866            0.371261         0.000289459
        19            0.367725            0.371074         0.000328632
        20            0.372666            0.371154         0.000321692
