#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1             1.89907             1.89907                   0
         2             1.87659             1.88783          0.00794613
         3             1.91041             1.89536          0.00811397
         4             1.91697             1.90076          0.00767667
         5             1.92861             1.90633          0.00790739
         6              1.8987             1.90506          0.00669102
         7             1.91745             1.90683          0.00596486
         8             1.90317             1.90637           0.0052368
         9             1.90481              1.9062          0.00465781
        10             1.89234             1.90481          0.00439342
        11             1.90098             1.90446          0.00400778
        12             1.91305             1.90518          0.00373716
        13              1.9008             1.90484          0.00346483
        14             1.92544             1.90631          0.00351573
        15             1.91231             1.90671          0.00330399
        16             1.92594             1.90792          0.00330874
        17             1.88903              1.9068          0.00329523
        18             1.92607             1.90787          0.00328143
        19             1.89389             1.90714          0.00319017
        20              1.9155             1.90756          0.00305792
