#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.614173   -0.614173           0
           2   -0.613102   -0.613637 0.000378585
           3   -0.613732   -0.613669   0.0002537
           4   -0.613058   -0.613516 0.000231683
           5   -0.614005   -0.613614 0.000204914
           6   -0.614038   -0.613685  0.00018254
           7   -0.613427   -0.613648 0.000160126
           8   -0.613266     -0.6136 0.000147053
           9   -0.613168   -0.613552 0.000138345
          10   -0.613352   -0.613532 0.000125955
          11   -0.612704   -0.613457  0.00013514
          12    -0.61342   -0.613454 0.000123912
          13   -0.613048   -0.613422 0.000118253
          14   -0.613324   -0.613415 0.000110015
          15   -0.612962   -0.613385 0.000106754
          16   -0.613042   -0.613364 0.000102219
          17   -0.612962    -0.61334 9.89003e-05
          18   -0.612736   -0.613307 9.89296e-05
          19   -0.612991    -0.61329 9.51051e-05
          20    -0.61373   -0.613312 9.28598e-05
