#   N_BLOCK:  ACCEPTANCE:
           1    0.386936
           2    0.387031
           3    0.386728
           4    0.386608
           5    0.386649
           6    0.386632
           7    0.386651
           8    0.386733
           9    0.386679
          10    0.386704
          11    0.386764
          12    0.386709
          13    0.386709
          14    0.386761
          15    0.386773
          16    0.386747
          17    0.386743
          18    0.386737
          19     0.38675
          20    0.386756
