#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         1           -0.111088           -0.111088                   0
         2           -0.066529          -0.0888084           0.0157539
         3           -0.103225           -0.093614           0.0112116
         4           -0.181694           -0.115634           0.0208415
         5           0.0228636          -0.0879345           0.0298631
         6          -0.0791698          -0.0864737           0.0249217
         7           0.0665838          -0.0646084           0.0294297
         8           0.0533168          -0.0498677           0.0292102
         9           -0.134416           -0.059262           0.0274337
        10            0.075059          -0.0458299           0.0277848
        11           0.0598696          -0.0362209           0.0268691
        12           -0.058399           -0.038069           0.0246935
        13            0.012899          -0.0341484           0.0231032
        14          -0.0355646          -0.0342496           0.0214532
        15           -0.026676          -0.0337447           0.0200289
        16            0.137728          -0.0230276           0.0214536
        17            0.040537          -0.0192886           0.0205148
        18           -0.081643          -0.0227527           0.0196654
        19          -0.0361284          -0.0234567            0.018643
        20            -0.02482          -0.0235248            0.017711
