#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1               11.52               11.52                   0
         2               25.92               18.72             5.09117
         3               23.12             20.1867             3.59918
         4               15.68               19.06             2.87031
         5                  18              18.848             2.30407
         6               11.52             17.6267             2.22028
         7               23.12             18.4114             2.03707
         8               25.92               19.35             1.98693
         9               38.72             21.5022             2.69011
        10               42.32              23.584             3.12444
        11               23.12             23.5418             2.84069
        12               23.12             23.5067             2.60418
        13               20.48             23.2738             2.41425
        14               15.68             22.7314             2.30193
        15               20.48             22.5813             2.15335
        16               13.52              22.015             2.09192
        17                5.12             21.0212             2.19226
        18                5.12             20.1378              2.2414
        19                3.92             19.2842             2.28017
        20                3.92              18.516             2.29192
        21                   2             17.7295             2.31379
        22                6.48             17.2182             2.26442
        23                3.92               16.64             2.23856
        24                6.48             16.2167             2.18495
        25                6.48             15.8272             2.13198
        26                0.72             15.2462             2.12769
        27                1.28             14.7289             2.11083
        28                0.08             14.2057             2.09927
        29                1.28               13.76             2.07366
        30                   2              13.368             2.04125
        31                2.88             13.0297             2.00325
        32                   8             12.8725              1.9468
        33                  18             13.0279               1.894
        34               11.52             12.9835             1.83881
        35               15.68             13.0606             1.78789
        36               15.68             13.1333              1.7397
        37               28.88             13.5589             1.74396
        38                  18             13.6758             1.70198
        39               13.52             13.6718             1.65835
        40               13.52              13.668             1.61689
        41                   8             13.5298             1.58335
        42                9.68             13.4381             1.54831
        43                   8             13.3116             1.51746
        44               11.52             13.2709             1.48351
        45                  32             13.6871              1.5078
        46               35.28             14.1565             1.54637
        47               42.32             14.7557             1.62542
        48               15.68              14.775             1.59167
        49               28.88             15.0629             1.58501
        50               23.12              15.224             1.56148
        51               13.52             15.1906             1.53122
        52                5.12             14.9969             1.51397
        53                   2             14.7517             1.50513
        54                5.12             14.5733             1.48779
        55                2.88             14.3607             1.47585
        56                0.32               14.11             1.47064
        57                5.12             13.9523             1.45327
        58                   2             13.7462             1.44275
        59                0.72             13.5254             1.43509
        60                0.32             13.3053             1.42795
        61                0.32             13.0925             1.42032
        62                   2             12.9135             1.40864
        63                   8             12.8356             1.38844
        64                6.48             12.7363             1.37029
        65                6.48               12.64             1.35258
        66                6.48             12.5467              1.3353
        67                   2             12.3893             1.32462
        68                   8             12.3247             1.30671
        69               13.52              12.342             1.28789
        70               20.48             12.4583             1.27473
        71               25.92             12.6479              1.2708
        72               13.52               12.66              1.2532
        73               13.52             12.6718             1.23609
        74                3.92             12.5535             1.22503
        75                5.12             12.4544              1.2127
        76                   8             12.3958             1.19816
        77               20.48             12.5008             1.18719
        78               20.48             12.6031             1.17637
        79               13.52             12.6147             1.16154
        80               20.48              12.713             1.15117
        81               25.92              12.876             1.14845
        82                  32             13.1093             1.15788
        83               38.72             13.4178             1.18433
        84                  32              13.639             1.19071
        85               25.92             13.7835             1.18544
        86               15.68             13.8056             1.17186
        87               25.92             13.9448             1.16663
        88               25.92             14.0809             1.16128
        89               13.52             14.0746             1.14825
        90               20.48             14.1458              1.1377
        91                  32              14.342             1.14199
        92               20.48             14.4087             1.13152
        93               25.92             14.5325             1.12611
        94               28.88             14.6851             1.12442
        95                9.68             14.6324             1.11382
        96               11.52                14.6             1.10269
        97                9.68             14.5493             1.09249
        98                3.92             14.4408             1.08671
        99                5.12             14.3467              1.0798
       100                  18             14.3832             1.06962
       101                  18              14.419             1.05963
       102                  32             14.5914             1.06317
       103               25.92             14.7014             1.05852
       104                  18             14.7331             1.04882
       105               28.88             14.8678             1.04745
       106               35.28             15.0604             1.05512
       107               35.28             15.2493             1.06205
       108               42.32                15.5             1.08139
       109               42.32             15.7461              1.0991
       110               46.08             16.0218             1.12317
       111               42.32             16.2587             1.13777
       112               35.28             16.4286             1.14021
       113               46.08              16.691             1.15992
       114               38.72             16.8842             1.16573
       115               46.08             17.1381             1.18292
       116               38.72             17.3241             1.18726
       117               38.72              17.507             1.19112
       118               23.12             17.5546             1.18197
       119               20.48             17.5792             1.17229
       120               20.48             17.6033             1.16277
       121               15.68             17.5874             1.15327
       122               13.52             17.5541              1.1443
       123               15.68             17.5389              1.1351
       124                5.12             17.4387             1.13036
       125                   8             17.3632             1.12383
       126                   2             17.2413             1.12151
       127                5.12             17.1458             1.11673
       128                9.68             17.0875             1.10953
       129                  18             17.0946             1.10095
       130               20.48             17.1206             1.09279
       131               35.28             17.2592              1.0932
       132               25.92             17.3248             1.08689
       133               28.88             17.4117             1.08218
       134               11.52             17.3678               1.075
       135                9.68             17.3108             1.06854
       136                3.92             17.2124             1.06521
       137                0.72              17.092             1.06422
       138                   0             16.9681             1.06369
       139                0.32             16.8483             1.06276
       140                   0              16.728             1.06196
       141                0.32             16.6116             1.06079
       142               20.48             16.6389             1.05367
       143               13.52             16.6171             1.04652
       144                9.68             16.5689             1.04036
       145               15.68             16.5628             1.03321
       146                9.68             16.5156              1.0272
       147                9.68             16.4691             1.02127
       148               15.68             16.4638             1.01438
       149               15.68             16.4585             1.00759
       150               11.52             16.4256             1.00141
       151                9.68             16.3809            0.995773
       152               15.68             16.3763            0.989232
       153               13.52             16.3576            0.982943
       154               11.52             16.3262            0.977062
       155               28.88             16.4072            0.974109
       156               35.28             16.5282            0.975349
       157               13.52              16.509            0.969324
       158                  18             16.5185            0.963235
       159                   8             16.4649            0.958666
       160                3.92             16.3865            0.955875
       161                6.48              16.325            0.951917
       162                3.92             16.2484            0.949115
       163                9.68             16.2081            0.944148
       164               11.52             16.1795            0.938823
       165               15.68             16.1765            0.933138
       166               25.92             16.2352            0.929361
       167               25.92             16.2932            0.925604
       168               25.92             16.3505            0.921866
       169               23.12             16.3905            0.917281
       170               23.12             16.4301            0.912739
       171               28.88             16.5029            0.910301
       172                  32              16.593            0.909456
       173               35.28              16.701            0.910591
       174               46.08             16.8699            0.920879
       175               38.72             16.9947            0.924042
       176               28.88             17.0623            0.921256
       177               23.12             17.0965            0.916687
       178               28.88             17.1627            0.913924
       179               35.28             17.2639            0.914406
       180               42.32             17.4031             0.91986
       181               28.88             17.4665            0.916961
       182               13.52             17.4448            0.912179
       183               11.52             17.4125            0.907769
       184               13.52             17.3913            0.903082
       185               15.68             17.3821            0.898248
       186                6.48             17.3234            0.895329
       187                   8             17.2736            0.891928
       188               15.68             17.2651            0.887224
       189                5.12             17.2008            0.884854
       190                6.48             17.1444            0.881994
       191                   8             17.0965            0.878675
       192                2.88             17.0225            0.877212
       193                5.12             16.9608            0.874832
       194                0.72             16.8771            0.874319
       195                2.88             16.8053            0.872777
       196                5.12             16.7457            0.870358
       197                9.68             16.7098            0.866679
       198                  18             16.7164            0.862326
       199               25.92             16.7626            0.859232
       200               28.88             16.8232            0.857069
       201               25.92             16.8685            0.853999
       202                6.48              16.817            0.851319
       203                6.48             16.7661            0.848647
       204               20.48             16.7843            0.844682
       205               20.48             16.8023            0.840754
       206                9.68             16.7678            0.837383
       207               13.52             16.7521            0.833485
       208                6.48             16.7027            0.830939
       209                9.68             16.6691            0.827643
       210                9.68             16.6358             0.82437
       211                3.92             16.5755            0.822663
       212                5.12             16.5215            0.820556
       213                6.48             16.4744            0.818056
       214                5.12             16.4213            0.815952
       215                5.12             16.3687            0.813849
       216                6.48              16.323            0.811367
       217                3.92             16.2658            0.809639
       218                   8             16.2279            0.806813
       219                0.72             16.1571             0.80623
       220                   0             16.0836            0.805903
       221                0.32             16.0123            0.805407
       222                0.72             15.9434            0.804719
       223                0.08             15.8723            0.804249
       224                1.28             15.8071            0.803293
       225                0.72             15.7401            0.802516
       226                2.88             15.6832             0.80098
       227                   2             15.6229            0.799716
       228               11.52             15.6049            0.796411
       229                9.68              15.579            0.793354
       230               13.52             15.5701            0.789955
       231                   8             15.5373            0.787214
       232                6.48             15.4983            0.784789
       233                9.68             15.4733            0.781818
       234                   8             15.4414            0.779129
       235                   8             15.4097            0.776456
       236                9.68             15.3854            0.773546
       237               11.52             15.3691            0.770454
       238                2.88             15.3166            0.769002
       239                3.92              15.269            0.767261
       240                6.48             15.2323            0.764938
       241                9.68             15.2093             0.76211
       242                   8             15.1795            0.759543
       243                5.12             15.1381            0.757545
       244                5.12              15.097            0.755552
       245                3.92             15.0514            0.753844
       246                3.92             15.0062            0.752137
       247                1.28             14.9506            0.751142
       248                3.92             14.9061            0.749429
       249               13.52             14.9006            0.746439
       250                  18              14.913            0.743557
       251                9.68             14.8921            0.740887
       252               13.52             14.8867            0.737966
       253               11.52             14.8734             0.73517
       254               13.52              14.868            0.732295
       255               13.52             14.8627            0.729442
       256               11.52             14.8497            0.726709
       257                6.48             14.8171            0.724611
       258                0.08               14.76             0.72405
