#   N_BLOCK:  ACCEPTANCE:
           1    0.567738
           2    0.566219
           3     0.56592
           4    0.566576
           5    0.566606
           6    0.566927
           7    0.566849
           8    0.567003
           9    0.566694
          10    0.566356
          11    0.566307
          12    0.566258
          13    0.566328
          14    0.566451
          15    0.566265
          16    0.566282
          17    0.566298
          18    0.566198
          19    0.566147
          20    0.566202
          21    0.566228
          22    0.566115
          23    0.566216
          24    0.566242
          25     0.56623
          26    0.566339
          27    0.566308
          28    0.566279
          29    0.566262
          30    0.566273
          31    0.566306
          32    0.566272
          33    0.566277
          34    0.566301
          35    0.566276
          36    0.566232
          37    0.566224
          38    0.566235
          39    0.566224
          40    0.566262
          41    0.566277
          42    0.566282
          43     0.56633
          44    0.566315
          45    0.566332
          46    0.566332
          47    0.566339
          48    0.566342
          49    0.566374
          50    0.566358
