#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.25116     3.25116           0
           2     3.27487     3.26302  0.00838254
           3     3.31104     3.27903   0.0142159
           4     3.24414      3.2703   0.0130666
           5     3.26377       3.269   0.0105184
           6     3.22671     3.26195   0.0108732
           7     3.24446     3.25945  0.00960258
           8     3.26418     3.26004  0.00842042
           9     3.41142     3.27686   0.0175358
          10     3.43056     3.29223   0.0214871
          11     3.30315     3.29322   0.0195567
          12      3.3603     3.29881   0.0187087
          13     3.31592     3.30013   0.0173158
          14     3.28748     3.29923   0.0161025
          15     3.36942     3.30391   0.0156942
          16       3.278     3.30229   0.0147965
          17     3.31589     3.30309   0.0139478
          18     3.37352       3.307   0.0137108
          19     3.30327      3.3068   0.0129906
          20     3.28357     3.30564   0.0123929
          21     3.26601     3.30375   0.0119456
          22     3.38921     3.30764   0.0120176
          23     3.25435     3.30532   0.0117163
          24      3.2325     3.30229   0.0116144
          25     3.29275     3.30191   0.0111561
          26     3.13568     3.29551   0.0124247
          27     3.29997     3.29568   0.0119656
          28     3.35404     3.29776   0.0117184
          29      3.3478     3.29949   0.0114406
          30      3.3795     3.30215   0.0113659
          31      3.2625     3.30088    0.011071
          32      3.3242      3.3016    0.010749
          33     3.28876     3.30122   0.0104303
          34     3.20012     3.29824   0.0105388
          35      3.2893     3.29799   0.0102408
          36     3.34281     3.29923   0.0100318
          37     3.34771     3.30054  0.00984582
          38     3.32632     3.30122  0.00961006
          39     3.33785     3.30216  0.00940944
          40     3.22424     3.30021  0.00937369
          41     3.26211     3.29928  0.00919101
          42     3.30065     3.29931  0.00897223
          43     3.17228     3.29636  0.00923715
          44      3.3145     3.29677  0.00903641
          45     3.24473     3.29562  0.00890928
          46     3.32284     3.29621  0.00873524
          47     3.24519     3.29512  0.00861656
          48     3.30762     3.29538  0.00844098
          49     3.25759     3.29461  0.00830387
          50     3.27852     3.29429  0.00814403
