#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.84443    -4.84443           0
           2    -4.84368    -4.84405 0.000265217
           3    -4.83239    -4.84017  0.00317889
           4    -4.84783    -4.84208  0.00290466
           5     -4.8426    -4.84218  0.00232557
           6    -4.85468    -4.84427  0.00271498
           7    -4.84829    -4.84484  0.00238723
           8    -4.84292     -4.8446  0.00210085
           9    -4.81319    -4.84111  0.00378397
          10    -4.81544    -4.83855  0.00418666
          11    -4.83807     -4.8385  0.00380627
          12    -4.82309    -4.83722  0.00369946
          13    -4.83004    -4.83667  0.00345579
          14     -4.8355    -4.83658  0.00320995
          15    -4.82392    -4.83574  0.00310495
          16    -4.83982    -4.83599  0.00292136
          17    -4.83527    -4.83595  0.00274983
          18     -4.8254    -4.83537  0.00265885
          19    -4.83496    -4.83534    0.002519
          20    -4.84445     -4.8358  0.00243384
          21     -4.8448    -4.83623  0.00235538
          22    -4.82122    -4.83555  0.00234501
          23    -4.85097    -4.83622  0.00233693
          24     -4.8533    -4.83693  0.00234547
          25    -4.84453    -4.83723  0.00227128
          26    -4.87194    -4.83857  0.00254617
          27    -4.83709    -4.83851  0.00245246
          28    -4.82614    -4.83807  0.00240433
          29     -4.8252    -4.83763  0.00236204
          30    -4.82441    -4.83719  0.00232401
          31    -4.84711    -4.83751  0.00227097
          32    -4.83485    -4.83742  0.00220152
          33    -4.83646    -4.83739    0.002135
          34    -4.85919    -4.83803  0.00216634
          35    -4.83885    -4.83806  0.00210457
          36    -4.83359    -4.83793  0.00204977
          37    -4.82477    -4.83758  0.00202503
          38    -4.82802    -4.83733  0.00198729
          39    -4.82791    -4.83709  0.00195095
          40    -4.85195    -4.83746  0.00193725
          41    -4.83984    -4.83751  0.00189087
          42    -4.84014    -4.83758  0.00184688
          43    -4.87118    -4.83836  0.00196229
          44    -4.84072    -4.83841  0.00191842
          45    -4.84883    -4.83864  0.00188972
          46    -4.83521    -4.83857  0.00185011
          47    -4.85036    -4.83882  0.00182767
          48    -4.83825    -4.83881  0.00178963
          49    -4.84719    -4.83898  0.00176128
          50    -4.84416    -4.83908  0.00172909
