#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.72139    -5.72139           0
           2    -4.59029    -5.15584    0.399907
           3    -3.84784    -4.71984    0.444757
           4    -2.60611    -4.19141    0.566303
           5    -2.33522    -3.82017    0.561695
           6    -2.41302    -3.58565    0.514716
           7    -1.96615    -3.35429    0.490433
           8    -1.72819    -3.15103    0.469364
           9   -0.873748      -2.898      0.4806
          10   -0.596841    -2.66788    0.484509
          11   -0.162425    -2.44011     0.49109
          12   -0.160515    -2.25015     0.48552
          13   -0.555668     -2.1198     0.46534
          14   0.0590738    -1.96417    0.457387
          15   -0.127323    -1.84171    0.442984
          16    0.353399    -1.70452    0.436025
          17    0.258782    -1.58903    0.425396
          18    0.570383    -1.46906    0.418338
          19    0.602169    -1.36005    0.410277
          20    0.625654    -1.26076    0.401597
          21    0.182709    -1.19203    0.388311
          22    0.902355    -1.09683    0.382152
          23    0.994752    -1.00589    0.376201
          24    0.414039   -0.946726    0.365149
          25    0.721027   -0.880016    0.356585
          26    0.782388   -0.816077    0.348555
          27    0.730447   -0.758798    0.340319
          28    0.504731   -0.713672    0.331144
          29    0.994026   -0.654786    0.324918
          30    0.996027   -0.599759    0.318713
          31    0.825936   -0.553769    0.311733
          32    0.537991   -0.519651    0.303852
          33  -0.0695146   -0.506011    0.294951
          34  0.00155906   -0.491082    0.286653
          35  0.00352929   -0.476951    0.278811
          36    0.449159   -0.451225    0.272251
          37     0.51481   -0.425116    0.266142
          38     1.38754   -0.377415    0.263378
          39    0.863696   -0.345592     0.25854
          40     1.02318   -0.311372    0.254331
          41     1.96427   -0.255869    0.254112
          42     2.25588   -0.196065    0.255002
          43     2.52517   -0.132781    0.256804
          44      1.7142  -0.0908037    0.254376
          45     1.47614  -0.0559828    0.251095
          46     1.74627  -0.0168034    0.248674
          47     1.27551   0.0106927    0.244898
          48     1.22465   0.0359835    0.241099
          49     1.37176   0.0632442    0.237715
          50     1.86495   0.0992784    0.235676
          51     1.80866    0.132796    0.233426
          52     1.54293    0.159914    0.230507
          53     1.64279    0.187893    0.227849
          54     1.30523    0.208584    0.224567
          55    0.926887    0.221644    0.220864
          56     1.40737    0.242818    0.217932
          57     1.84594    0.270943    0.215916
          58     1.99749    0.300711    0.214236
          59     1.70793    0.324562    0.211928
          60      1.5793    0.345474    0.209425
          61     1.80463    0.369395    0.207353
          62     1.59179    0.389111    0.204944
          63     1.69223    0.409795    0.202732
          64     1.25483    0.422999    0.199994
          65     1.45073     0.43881    0.197541
          66     1.38836    0.453197    0.195071
          67     1.67007    0.471359    0.193004
          68     1.76657    0.490407    0.191103
          69     1.46672    0.504556    0.188856
          70     1.74717    0.522308    0.186991
          71     1.81638    0.540534    0.185243
          72     1.95114    0.560126    0.183704
          73     2.51586    0.586917     0.18313
          74       1.506    0.599337    0.181076
          75     1.90114    0.616694    0.179492
          76     2.08133    0.635966    0.178162
          77     2.56194    0.660978    0.177595
          78     2.41502    0.683466    0.176736
          79     2.61978    0.707977     0.17619
          80     2.68253    0.732658    0.175708
