#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.59736    -6.59736           0
           2    -6.38965    -6.49351   0.0734366
           3    -6.26151    -6.41617   0.0798975
           4    -6.01168    -6.31505    0.106114
           5    -5.98185    -6.24841    0.103727
           6    -5.99046    -6.20542   0.0949315
           7    -5.90286     -6.1622   0.0906774
           8    -5.84122    -6.12207   0.0877714
           9    -5.66941    -6.07178   0.0912994
          10    -5.60572    -6.02517   0.0933096
          11    -5.49575    -5.97704   0.0964439
          12    -5.51669    -5.93868   0.0957333
          13    -5.62384    -5.91446   0.0913812
          14    -5.49967    -5.88483   0.0895283
          15    -5.56157    -5.86328   0.0861146
          16    -5.45366    -5.83768   0.0844524
          17    -5.45096    -5.81493   0.0824915
          18    -5.37255    -5.79036   0.0814876
          19    -5.35863    -5.76763   0.0803044
          20    -5.35475    -5.74699   0.0788981
          21    -5.44193    -5.73246   0.0764667
          22    -5.27591    -5.71171   0.0757546
          23     -5.2683    -5.69243   0.0748738
          24    -5.42072    -5.68111   0.0726049
          25    -5.33887    -5.66742   0.0709796
          26    -5.31798    -5.65398   0.0695104
          27    -5.34119     -5.6424   0.0678944
          28    -5.38206     -5.6331   0.0661032
          29    -5.25347    -5.62001   0.0651071
          30    -5.25641    -5.60789    0.064055
          31    -5.31331    -5.59839   0.0626896
          32     -5.3779     -5.5915    0.061108
          33     -5.5192     -5.5893   0.0592955
          34    -5.52137    -5.58731   0.0575852
          35    -5.51153    -5.58514   0.0559806
          36    -5.43074    -5.58085   0.0545896
          37    -5.40386    -5.57607   0.0533234
          38    -5.19481    -5.56604   0.0528556
          39    -5.31295    -5.55955   0.0518972
          40    -5.29141    -5.55284   0.0510308
          41    -5.05772    -5.54077   0.0511951
          42    -4.98469    -5.52753   0.0516599
          43     -4.9498    -5.51409   0.0521764
          44    -5.13239    -5.50542   0.0517067
          45    -5.19555    -5.49853   0.0510141
          46    -5.11003    -5.49008   0.0505994
          47     -5.2308    -5.48457   0.0498226
          48    -5.22763    -5.47922   0.0490714
          49    -5.20166    -5.47355   0.0483957
          50    -5.08187    -5.46572   0.0480576
          51    -5.09177    -5.45838   0.0476714
          52    -5.17363    -5.45291   0.0470681
          53    -5.14566    -5.44711   0.0465357
          54    -5.24819    -5.44343   0.0458195
          55    -5.30864    -5.44098   0.0450519
          56    -5.21904    -5.43701   0.0444214
          57    -5.13906    -5.43179   0.0439485
          58    -5.10282    -5.42611   0.0435552
          59    -5.16528    -5.42169   0.0430408
          60     -5.2191    -5.41832   0.0424557
          61     -5.1714    -5.41427   0.0419522
          62    -5.20015    -5.41082   0.0414175
          63    -5.17635    -5.40709   0.0409269
          64    -5.26954    -5.40495   0.0403438
          65    -5.22083    -5.40211   0.0398225
          66    -5.25187    -5.39984   0.0392841
          67    -5.19362    -5.39676   0.0388182
          68    -5.18161    -5.39359    0.038376
          69    -5.24395    -5.39143   0.0378811
          70    -5.17256     -5.3883   0.0374687
          71    -5.18539    -5.38544   0.0370498
          72    -5.15125    -5.38219   0.0366778
          73    -5.02009    -5.37723   0.0365092
          74    -5.25466    -5.37557   0.0360534
          75    -5.16866    -5.37281   0.0356781
          76    -5.12659    -5.36957   0.0353554
          77    -5.02615    -5.36511   0.0351764
          78    -5.06887    -5.36132   0.0349299
          79    -5.02188    -5.35702    0.034751
          80     -4.9724    -5.35221   0.0346476
          81    -4.90008    -5.34663   0.0346665
          82    -5.11251    -5.34377   0.0343611
          83    -5.16909    -5.34167   0.0340116
          84    -5.22616    -5.34029   0.0336344
          85     -5.2552    -5.33929   0.0332536
          86    -5.17492    -5.33738   0.0329219
          87    -5.24304     -5.3363   0.0325613
          88    -5.15638    -5.33425   0.0322554
          89    -5.25667    -5.33338   0.0319048
          90    -5.07431     -5.3305   0.0316799
          91     -4.9715    -5.32656   0.0315764
          92    -5.04684    -5.32352   0.0313792
          93    -5.09793    -5.32109   0.0311354
          94    -5.06955    -5.31842    0.030919
          95    -4.95554     -5.3146   0.0308286
          96    -4.90819    -5.31036   0.0307967
          97     -4.9308    -5.30645   0.0307268
          98    -4.98208    -5.30314    0.030591
          99     -4.9984    -5.30006   0.0304365
         100    -4.88459    -5.29591   0.0304144
         101    -4.87594    -5.29175   0.0303962
         102    -5.02638    -5.28915   0.0302093
         103    -4.88018    -5.28518   0.0301758
         104    -5.03355    -5.28276   0.0299825
         105    -5.14534    -5.28145   0.0297255
         106    -5.18841    -5.28057    0.029458
         107    -5.19843     -5.2798   0.0291927
         108    -5.15405    -5.27864   0.0289456
         109    -4.94365    -5.27557   0.0288428
         110    -4.92863    -5.27241   0.0287525
         111    -4.89615    -5.26902   0.0286926
         112    -5.01121    -5.26672   0.0285286
         113    -5.02935    -5.26462   0.0283533
         114    -5.03165    -5.26258   0.0281782
         115     -4.8563    -5.25904   0.0281537
         116    -4.84506    -5.25547   0.0281363
         117    -4.86289    -5.25212   0.0280952
         118    -4.93449    -5.24943   0.0279858
         119    -4.97071    -5.24708   0.0278484
         120    -5.02678    -5.24525   0.0276768
         121    -5.08039    -5.24389   0.0274816
         122    -5.11384    -5.24282    0.027277
         123    -5.21106    -5.24256   0.0270564
         124    -5.20494    -5.24226   0.0268399
         125    -5.26126    -5.24241   0.0266257
         126    -5.14497    -5.24164   0.0264256
         127    -5.18693    -5.24121    0.026221
         128    -5.26365    -5.24138   0.0260167
         129    -5.06939    -5.24005   0.0258492
         130    -5.00974    -5.23828    0.025711
         131     -5.0379    -5.23675   0.0255602
         132    -4.92714     -5.2344   0.0254739
         133    -4.89917    -5.23188   0.0254068
         134    -5.02032     -5.2303   0.0252662
         135    -4.94109    -5.22816   0.0251697
         136    -5.00828    -5.22654   0.0250365
         137    -5.12258    -5.22578   0.0248653
         138    -5.05258    -5.22453   0.0247167
         139    -5.10142    -5.22364   0.0245548
         140    -5.15086    -5.22312   0.0243849
         141    -5.14831    -5.22259   0.0242177
         142    -5.13206    -5.22196   0.0240556
         143    -5.02974    -5.22061   0.0239249
         144    -4.85115    -5.21805   0.0238959
         145    -4.79689    -5.21514    0.023907
         146    -4.90327      -5.213   0.0238385
         147     -4.8948    -5.21084   0.0237744
         148    -5.10528    -5.21013   0.0236244
         149     -5.0714     -5.2092   0.0234842
         150     -5.0474    -5.20812   0.0233524
         151     -5.0143    -5.20683    0.023233
         152    -5.04927     -5.2058   0.0231033
         153     -5.0566    -5.20482   0.0229728
         154    -4.82311    -5.20234    0.022957
         155    -4.85154    -5.20008   0.0229202
         156    -4.80986    -5.19758   0.0229094
         157       -5.08    -5.19683   0.0227757
         158     -5.0764    -5.19607   0.0226443
         159    -5.04607    -5.19512   0.0225215
         160    -5.06301     -5.1943   0.0223959
         161    -4.90533     -5.1925   0.0223286
         162       -4.93    -5.19088   0.0222495
         163    -4.90581    -5.18913   0.0221816
         164    -4.82493    -5.18691   0.0221572
         165    -4.76205    -5.18434    0.022172
         166    -4.95019    -5.18293   0.0220833
         167    -4.78471    -5.18054   0.0220794
         168    -4.75361      -5.178   0.0220938
         169     -4.7238    -5.17531   0.0221259
         170    -4.82194    -5.17324   0.0220932
         171    -4.75058    -5.17076   0.0221018
         172     -4.6689    -5.16785   0.0221651
         173    -4.59631    -5.16454   0.0222818
         174    -4.49629     -5.1607   0.0224823
         175    -4.33428    -5.15598   0.0228444
         176     -4.6527    -5.15312   0.0228929
         177    -4.61896     -5.1501   0.0229616
         178    -4.72032    -5.14769   0.0229592
         179     -4.7058    -5.14522   0.0229633
         180    -4.79956     -5.1433   0.0229158
         181     -4.8197    -5.14151   0.0228589
         182    -4.73997     -5.1393   0.0228395
         183    -4.63531    -5.13655   0.0228801
         184    -4.83268     -5.1349   0.0228153
         185    -5.01154    -5.13423   0.0227017
         186     -4.7566     -5.1322   0.0226703
         187    -4.85349    -5.13071    0.022598
         188    -4.88917    -5.12943   0.0225143
         189    -4.92201    -5.12833   0.0224219
         190      -4.763    -5.12641   0.0223862
         191    -4.66052    -5.12397   0.0224015
         192    -4.57845    -5.12113   0.0224642
         193    -4.74621    -5.11918   0.0224317
         194    -4.64176    -5.11672   0.0224506
         195    -4.53631    -5.11375    0.022532
         196    -4.53631     -5.1108   0.0226088
         197    -4.52531    -5.10783   0.0226885
         198    -4.33425    -5.10392   0.0229079
         199    -4.35274    -5.10015   0.0231016
         200    -4.46144    -5.09695   0.0232058
         201    -4.64298    -5.09469      0.0232
         202    -4.71968    -5.09284   0.0231593
         203    -4.74944    -5.09115   0.0231069
         204    -4.74932    -5.08947   0.0230544
         205    -4.82061    -5.08816   0.0229792
         206    -4.57269    -5.08566   0.0230035
         207    -4.64973    -5.08355   0.0229885
         208    -4.70799    -5.08175   0.0229488
         209    -4.60677    -5.07947   0.0229512
         210    -4.75993    -5.07795   0.0228923
         211    -4.81511    -5.07671   0.0228177
         212    -4.65404    -5.07471    0.022797
         213    -4.54772    -5.07224   0.0228239
         214    -4.70453    -5.07052   0.0227818
         215    -4.72772    -5.06892   0.0227316
         216    -4.96669    -5.06845   0.0226312
         217     -4.8597    -5.06749   0.0225474
         218    -4.96446    -5.06702   0.0224489
         219    -4.94736    -5.06647   0.0223531
         220    -4.98126    -5.06608   0.0222548
         221    -5.03153    -5.06593   0.0221547
         222    -4.92087    -5.06527   0.0220645
         223    -4.87531    -5.06442    0.021982
         224    -4.75546    -5.06304   0.0219271
         225    -4.73459    -5.06158   0.0218782
         226    -4.60409    -5.05956   0.0218748
         227    -4.65818    -5.05779   0.0218498
         228    -4.61071    -5.05583   0.0218418
         229    -4.35228    -5.05276   0.0219614
         230    -4.40206    -5.04993   0.0220474
         231    -4.51733    -5.04762   0.0220722
         232     -4.6158    -5.04576   0.0220554
         233    -4.76184    -5.04454   0.0219943
         234    -4.77803     -5.0434   0.0219298
         235    -4.79605    -5.04235   0.0218617
         236    -4.84887    -5.04153   0.0217845
         237    -4.80291    -5.04052   0.0217158
         238    -4.83231    -5.03965   0.0216422
         239    -4.72279    -5.03832   0.0215922
         240    -4.42705    -5.03578   0.0216519
         241    -4.38253    -5.03307   0.0217311
         242    -4.47958    -5.03078   0.0217613
         243    -4.66018    -5.02925   0.0217251
         244    -4.80336    -5.02833   0.0216558
         245    -4.86404    -5.02766   0.0215778
         246    -4.94849    -5.02734   0.0214925
         247    -4.94519      -5.027   0.0214081
         248    -4.88159    -5.02642   0.0213298
         249    -4.80604    -5.02553   0.0212625
         250    -4.67397    -5.02413   0.0212239
         251    -4.55256    -5.02225   0.0212223
         252    -4.47689    -5.02008   0.0212481
         253    -4.65521    -5.01864    0.021213
         254    -4.63485    -5.01713   0.0211833
         255    -4.71921    -5.01596   0.0211324
         256    -4.63866    -5.01449   0.0211012
         257    -4.56415    -5.01273   0.0210917
         258    -4.56771    -5.01101   0.0210804
         259    -4.65464    -5.00963   0.0210438
         260    -4.58947    -5.00802   0.0210248
         261    -4.71712     -5.0069   0.0209738
         262    -4.75118    -5.00593   0.0209165
         263    -4.95448    -5.00573   0.0208378
         264    -4.83288    -5.00508   0.0207692
         265    -4.81429    -5.00436   0.0207033
         266    -4.82696    -5.00369   0.0206362
         267    -4.98041     -5.0036   0.0205591
         268    -5.00902    -5.00362   0.0204824
         269    -4.76715    -5.00274   0.0204251
         270    -4.65186    -5.00144   0.0203908
         271    -4.63085    -5.00008   0.0203613
         272    -4.74153    -4.99913   0.0203086
         273    -4.77595    -4.99831   0.0202507
         274    -4.72263     -4.9973   0.0202018
         275    -4.79535    -4.99657   0.0201416
         276    -4.73853    -4.99563   0.0200904
         277    -4.73716     -4.9947   0.0200395
         278    -4.68681    -4.99359    0.019998
         279    -4.60577     -4.9922   0.0199746
         280    -4.49188    -4.99042    0.019983
         281    -4.61272    -4.98907    0.019957
         282     -4.7185    -4.98811   0.0199093
         283    -4.70545    -4.98711    0.019864
         284    -4.53809    -4.98553   0.0198569
         285    -4.53319    -4.98395   0.0198505
         286    -4.54298     -4.9824   0.0198409
         287    -4.80365    -4.98178   0.0197815
         288    -4.82397    -4.98123   0.0197204
         289    -4.65023    -4.98009   0.0196854
         290     -4.6923     -4.9791   0.0196426
         291    -4.77993    -4.97841    0.019587
         292     -4.8579      -4.978   0.0195242
         293    -4.70006    -4.97705   0.0194806
         294    -4.54807    -4.97559    0.019469
         295    -4.60468    -4.97433   0.0194435
         296    -4.78647     -4.9737   0.0193882
         297    -4.82546     -4.9732   0.0193293
         298     -4.7906    -4.97259   0.0192742
         299    -4.93013    -4.97244   0.0192102
         300    -4.72149    -4.97161   0.0191644
         301     -4.7562    -4.97089   0.0191141
         302    -4.82151     -4.9704   0.0190572
         303    -4.79546    -4.96982    0.019003
         304    -4.79922    -4.96926   0.0189488
         305    -4.81017    -4.96874   0.0188939
         306    -4.71432    -4.96791   0.0188504
         307    -4.70153    -4.96704    0.018809
         308      -4.646      -4.966   0.0187768
         309    -4.64905    -4.96497    0.018744
         310    -4.88814    -4.96472   0.0186852
         311    -4.73665    -4.96399   0.0186395
         312    -4.75116    -4.96331   0.0185922
