#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.37753     2.37753           0
           2     2.38634     2.38193  0.00311553
           3     2.40347     2.38911  0.00621937
           4     2.38455     2.38797  0.00476822
           5      2.3993     2.39024  0.00431972
           6     2.39119      2.3904  0.00360269
           7     2.37943     2.38883  0.00341181
           8     2.40948     2.39141  0.00383973
           9     2.39139     2.39141   0.0034131
          10     2.39147     2.39142  0.00307179
          11     2.37387     2.38982  0.00317977
          12     2.41117      2.3916  0.00337621
          13     2.39924     2.39219  0.00316721
          14     2.38031     2.39134  0.00305243
          15     2.39472     2.39156  0.00285724
          16     2.38501     2.39115  0.00270785
          17     2.40993     2.39226  0.00276464
          18     2.38862     2.39206  0.00261842
          19      2.3772     2.39128   0.0025947
          20     2.36919     2.39017  0.00268976
          21     2.38661        2.39  0.00256701
          22     2.37716     2.38942   0.0025158
          23     2.37921     2.38897  0.00244523
          24     2.40835     2.38978  0.00247304
          25     2.41739     2.39089  0.00260904
          26     2.40983     2.39161  0.00260848
          27     2.37244      2.3909  0.00260673
          28     2.39188     2.39094  0.00251387
          29     2.37602     2.39042  0.00247925
          30     2.37841     2.39002  0.00242875
          31     2.36239     2.38913   0.0025087
          32     2.37457     2.38868  0.00247123
          33     2.39026     2.38873  0.00239681
          34     2.39845     2.38901  0.00234331
          35      2.4148     2.38975  0.00238941
          36      2.3956     2.38991  0.00232855
          37     2.38323     2.38973   0.0022726
          38     2.40292     2.39008  0.00223915
          39     2.40037     2.39034  0.00219723
          40     2.36972     2.38983  0.00220198
          41     2.39475     2.38995  0.00215155
          42     2.37319     2.38955  0.00213696
          43      2.3826     2.38939  0.00209336
          44     2.37643     2.38909   0.0020664
          45     2.38074     2.38891  0.00202879
          46     2.37595     2.38862  0.00200414
          47     2.37654     2.38837  0.00197791
          48     2.40999     2.38882  0.00198734
          49      2.3802     2.38864  0.00195455
          50     2.39758     2.38882  0.00192362
