#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.77361     3.77361           0
           2      3.7427     3.75815   0.0109292
           3     3.60237     3.70622   0.0430213
           4     3.70441     3.70577   0.0322683
           5     3.65927     3.69647   0.0271219
           6     3.67757     3.69332   0.0227837
           7     3.70839     3.69547   0.0196303
           8      3.6187     3.68588   0.0193808
           9     3.63998     3.68078   0.0178857
          10     3.64057     3.67676    0.016543
          11     3.71849     3.68055    0.015468
          12     3.52339     3.66745   0.0189281
          13     3.67557     3.66808   0.0174823
          14     3.70063      3.6704   0.0163875
          15     3.57939     3.66434   0.0163799
          16     3.74774     3.66955   0.0161643
          17     3.60916       3.666   0.0155988
          18     3.59943      3.6623   0.0151643
          19     3.71744      3.6652   0.0146412
          20     3.72524      3.6682   0.0142136
          21     3.65859     3.66774   0.0135441
          22     3.72583     3.67038   0.0131833
          23     3.62439     3.66838   0.0127609
          24     3.60727     3.66584   0.0124806
          25     3.56183     3.66168   0.0126558
          26     3.58149     3.65859   0.0125393
          27     3.75041     3.66199   0.0125275
          28     3.60256     3.65987   0.0122586
          29     3.74769      3.6629   0.0122042
          30     3.73141     3.66518   0.0120091
          31     3.84765     3.67107   0.0129844
          32     3.71208     3.67235   0.0126417
          33     3.64985     3.67167    0.012277
          34     3.65729     3.67125   0.0119232
          35     3.56777     3.66829   0.0119435
          36     3.59064     3.66613   0.0118049
          37      3.6119     3.66467   0.0115765
          38     3.63144     3.66379   0.0113048
          39      3.6405      3.6632   0.0110307
          40     3.76969     3.66586   0.0110715
          41     3.61868     3.66471   0.0108611
          42     3.69447     3.66542   0.0106256
          43     3.65135     3.66509   0.0103836
          44     3.76056     3.66726   0.0103718
          45     3.69079     3.66778   0.0101545
          46     3.77905      3.6702   0.0102178
          47      3.6657      3.6701   0.0100008
          48       3.632     3.66931  0.00982392
          49     3.66926     3.66931  0.00962343
          50     3.63215     3.66857  0.00945961
