#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.58502     1.58502           0
           2     1.59089     1.58796  0.00207702
           3     1.60232     1.59274  0.00414625
           4      1.5897     1.59198  0.00317881
           5     1.59954     1.59349  0.00287981
           6     1.59413      1.5936  0.00240179
           7     1.58629     1.59255  0.00227454
           8     1.60632     1.59427  0.00255982
           9     1.59426     1.59427   0.0022754
          10     1.59431     1.59428  0.00204786
          11     1.58258     1.59321  0.00211985
          12     1.60745      1.5944  0.00225081
          13     1.59949     1.59479  0.00211147
          14     1.58688     1.59423  0.00203495
          15     1.59648     1.59438  0.00190483
          16     1.59001      1.5941  0.00180523
          17     1.60662     1.59484  0.00184309
          18     1.59242      1.5947  0.00174561
          19      1.5848     1.59418   0.0017298
          20     1.57946     1.59345  0.00179317
          21     1.59108     1.59333  0.00171134
          22     1.58477     1.59295   0.0016772
          23     1.58614     1.59265  0.00163015
          24     1.60557     1.59319  0.00164869
          25     1.61159     1.59392  0.00173936
          26     1.60656     1.59441  0.00173898
          27     1.58163     1.59394  0.00173782
          28     1.59459     1.59396  0.00167591
          29     1.58401     1.59362  0.00165283
          30     1.58561     1.59335  0.00161916
          31     1.57492     1.59276  0.00167246
          32     1.58305     1.59245  0.00164749
          33     1.59351     1.59248  0.00159787
          34     1.59897     1.59267  0.00156221
          35     1.60987     1.59317  0.00159294
          36     1.59706     1.59327  0.00155236
          37     1.58882     1.59315  0.00151507
          38     1.60195     1.59339  0.00149277
          39     1.60025     1.59356  0.00146482
          40     1.57981     1.59322  0.00146798
          41      1.5965      1.5933  0.00143436
          42     1.58213     1.59303  0.00142464
          43      1.5884     1.59292  0.00139558
          44     1.58428     1.59273   0.0013776
          45     1.58716      1.5926  0.00135253
          46     1.58397     1.59242  0.00133609
          47     1.58436     1.59224  0.00131861
          48     1.60666     1.59254  0.00132489
          49      1.5868     1.59243  0.00130304
          50     1.59839     1.59255  0.00128241
