#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -2.65838    -2.65838           0
           2    -2.65768    -2.65803 0.000246545
           3     -2.6581    -2.65806 0.000165477
           4    -2.65652    -2.65767 0.000355315
           5    -2.65805    -2.65775 0.000292433
           6     -2.6576    -2.65772 0.000244751
           7    -2.65785    -2.65774 0.000210448
           8    -2.65751    -2.65771 0.000186189
           9    -2.65764     -2.6577 0.000165655
          10    -2.65747    -2.65768 0.000150679
          11    -2.65787     -2.6577 0.000137954
          12    -2.65831    -2.65775 0.000135695
          13    -2.65894    -2.65784 0.000152883
          14    -2.65827    -2.65787 0.000145044
          15    -2.65909    -2.65795 0.000156486
          16    -2.65799    -2.65795 0.000146721
          17    -2.65854    -2.65799  0.00014201
          18    -2.65945    -2.65807 0.000155628
          19     -2.6578    -2.65806 0.000148077
          20    -2.65904    -2.65811 0.000148627
          21    -2.65891    -2.65814 0.000146369
          22    -2.65717     -2.6581 0.000146272
          23    -2.65805     -2.6581 0.000139931
          24    -2.65741    -2.65807 0.000136969
          25    -2.65838    -2.65808 0.000132043
          26    -2.65765    -2.65806 0.000127977
          27    -2.65804    -2.65806 0.000123241
          28    -2.65804    -2.65806 0.000118843
          29    -2.65798    -2.65806 0.000114776
          30    -2.65739    -2.65804 0.000113101
          31    -2.65701      -2.658 0.000114239
          32     -2.6571    -2.65798  0.00011409
          33    -2.65799    -2.65798 0.000110634
          34    -2.65749    -2.65796   0.0001083
          35    -2.65796    -2.65796 0.000105206
          36    -2.65934      -2.658 0.000109049
          37    -2.65815      -2.658 0.000106172
          38     -2.6583    -2.65801 0.000103668
          39    -2.65905    -2.65804 0.000104352
          40    -2.65838    -2.65805 0.000102082
          41    -2.65764    -2.65804 0.000100076
          42    -2.65769    -2.65803 9.80256e-05
          43    -2.65867    -2.65804 9.68624e-05
          44    -2.65753    -2.65803 9.53574e-05
          45    -2.65804    -2.65803 9.32386e-05
          46    -2.65712    -2.65801 9.33047e-05
          47    -2.65674    -2.65799  9.5151e-05
          48    -2.65893      -2.658 9.51648e-05
          49    -2.65818    -2.65801 9.32888e-05
          50    -2.65779      -2.658 9.15237e-05
