#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2     1.09996     1.09998 1.53605e-05
           3     1.09983     1.09993 4.26951e-05
           4     1.09961     1.09985 7.62728e-05
           5      1.0993     1.09974 0.000115213
           6     1.09891      1.0996 0.000158958
           7     1.09842     1.09943 0.000207132
           8     1.09784     1.09923 0.000259463
           9     1.09717       1.099 0.000315754
          10     1.09641     1.09874 0.000375857
          11     1.09555     1.09845 0.000439661
          12      1.0946     1.09813 0.000507085
          13     1.09354     1.09778 0.000578072
          14     1.09239     1.09739 0.000652581
          15     1.09113     1.09698  0.00073059
          16     1.08977     1.09653 0.000812087
          17      1.0883     1.09604 0.000897074
          18     1.08672     1.09552 0.000985561
          19     1.08502     1.09497  0.00107757
          20     1.08321     1.09438  0.00117312
          21     1.08129     1.09376  0.00127226
          22     1.07924      1.0931  0.00137501
          23     1.07707      1.0924  0.00148143
          24     1.07477     1.09167  0.00159156
          25     1.07233     1.09089  0.00170546
          26     1.06977     1.09008  0.00182319
          27     1.06706     1.08923   0.0019448
          28     1.06422     1.08834  0.00207037
          29     1.06122      1.0874  0.00219994
          30     1.05808     1.08642  0.00233361
          31     1.05479      1.0854  0.00247143
          32     1.05133     1.08434  0.00261347
          33     1.04773     1.08323   0.0027597
          34     1.04398     1.08208     0.00291
          35     1.04007     1.08087  0.00306441
          36     1.03598     1.07963  0.00322309
          37     1.03171     1.07833  0.00338617
          38     1.02726     1.07699  0.00355375
          39     1.02263      1.0756  0.00372596
          40      1.0178     1.07415  0.00390289
          41     1.01278     1.07265  0.00408464
          42     1.00756      1.0711  0.00427127
          43     1.00214      1.0695  0.00446289
          44    0.996514     1.06784  0.00465954
          45    0.990676     1.06613   0.0048613
          46    0.984624     1.06435  0.00506822
          47    0.978357     1.06252  0.00528036
          48    0.971869     1.06064  0.00549775
          49     0.96516     1.05869  0.00572043
          50    0.958226     1.05668  0.00594843
          51    0.951064     1.05461  0.00618176
          52    0.943674     1.05247  0.00642045
          53    0.936054     1.05028  0.00666448
          54    0.928203     1.04802  0.00691386
          55    0.920119     1.04569  0.00716856
          56    0.911804      1.0433  0.00742855
          57    0.903257     1.04084   0.0076938
          58    0.894479     1.03832  0.00796426
          59    0.885473     1.03573  0.00823985
          60    0.876238     1.03307   0.0085205
          61     0.86678     1.03035  0.00880613
          62    0.857104     1.02755  0.00909661
          63    0.847224     1.02469  0.00939175
          64    0.837151     1.02176  0.00969136
          65    0.826887     1.01876  0.00999523
          66    0.816433      1.0157   0.0103032
          67    0.805791     1.01256    0.010615
          68    0.794966     1.00936   0.0109306
          69    0.783967      1.0061   0.0112497
          70    0.772803     1.00276   0.0115722
          71    0.761484    0.999365   0.0118977
          72    0.750024    0.995901    0.012226
          73    0.738435    0.992375    0.012557
          74     0.72673    0.988785   0.0128902
          75    0.714926    0.985133   0.0132254
          76    0.703038    0.981422   0.0135623
          77    0.691082    0.977651   0.0139004
          78    0.679077    0.973823   0.0142395
          79    0.667041     0.96994   0.0145792
          80    0.654994    0.966003    0.014919
          81    0.642956    0.962015   0.0152586
          82    0.630947    0.957977   0.0155975
          83    0.618991    0.953893   0.0159353
          84    0.607108    0.949765   0.0162716
          85    0.595322    0.945595   0.0166059
          86    0.583657    0.941386   0.0169377
          87    0.572135    0.937142   0.0172666
          88    0.560781    0.932865   0.0175921
          89     0.54962    0.928559   0.0179137
          90    0.538674    0.924227   0.0182309
          91    0.527969    0.919872   0.0185434
          92    0.517528    0.915499   0.0188504
          93    0.507375    0.911111   0.0191518
          94    0.497534    0.906711   0.0194468
          95    0.488028    0.902304   0.0197352
          96    0.478878    0.897893   0.0200164
          97    0.470105    0.893483   0.0202901
          98     0.46173    0.889077   0.0205558
          99     0.45377     0.88468   0.0208132
         100    0.446242    0.880296   0.0210618
         101    0.439163    0.875928   0.0213013
         102    0.432546    0.871581   0.0215314
         103    0.426405    0.867259   0.0217518
         104     0.42075    0.862966   0.0219623
         105     0.41559    0.858705   0.0221626
         106    0.410932    0.854481   0.0223525
         107    0.406784    0.850297   0.0225318
         108    0.403148    0.846156   0.0227003
         109    0.400026    0.842064   0.0228581
         110    0.397418    0.838021   0.0230049
